"X"	"Y"
"Cell1"	0.924527185511	0.42532771365
"Cell2"	0.480852788146	0.322262420197
"Cell3"	0.271190884062	0.269978869876
"Cell4"	0.649348900299	0.55101997885
"Cell5"	0.480855339255	0.256109498879
"Cell6"	0.989466044121	0.240790975978
"Cell7"	0.249687399328	0.0633126380694
"Cell8"	0.703935870481	0.828249322374
"Cell9"	0.966181091242	0.960637550987
"Cell10"	0.321391680442	0.837687121147
"Cell11"	0.741162688617	0.766189056797
"Cell12"	0.410862391148	0.724354020287
"Cell13"	0.0830523835192	0.20979331846
"Cell14"	0.789534903337	0.364840537957
"Cell15"	0.267501797719	0.31449647973
"Cell16"	0.145788186141	0.0813016591073
"Cell17"	0.547968991293	0.745485837507
"Cell18"	0.712970613478	0.00714841560045
"Cell19"	0.910164232137	0.472036566736
"Cell20"	0.715482689871	0.318981321379
"Cell21"	0.397690872353	0.597185193682
"Cell22"	0.42490877541	0.344402878297
"Cell23"	0.879132423733	0.979023315986
"Cell24"	0.33647325425	0.838780308927
"Cell25"	0.762221253192	0.12570830314
"Cell26"	0.259455501873	0.743227352208
"Cell27"	0.822063529539	0.137417495029
"Cell28"	0.863208341244	0.806395843415
"Cell29"	0.14403630973	0.984446645546
"Cell30"	0.0179417895508	0.16959923087
"Cell31"	0.981164032469	0.705625967211
"Cell32"	0.60606348008	0.968978372108
"Cell33"	0.512175697965	0.664786218627
"Cell34"	0.204908768988	0.645517924689
"Cell35"	0.0276632815426	0.0862824988066
"Cell36"	0.835968863729	0.571804773781
"Cell37"	0.5678219983	0.429415342953
"Cell38"	0.760488914111	0.0090888818767
"Cell39"	0.15362819029	0.744383097087
"Cell40"	0.0829598297928	0.465148701435
"Cell41"	0.732377012194	0.356997629997
"Cell42"	0.291002819494	0.694912541254
"Cell43"	0.705031314759	0.44014852423
"Cell44"	0.570060122121	0.577470290667
"Cell45"	0.828873009015	0.369201726608
"Cell46"	0.655041029469	0.649742102674
"Cell47"	0.254317712109	0.524081800309
"Cell48"	0.107850214319	0.552021040268
"Cell49"	0.472895854467	0.822788155725
"Cell50"	0.850415760725	0.806137344172
"Cell51"	0.111074683548	0.0778938723521
"Cell52"	0.38283288889	0.0886971845659
"Cell53"	0.827736110722	0.222318248238
"Cell54"	0.116459547019	0.464917517221
"Cell55"	0.0259443546963	0.742584904307
"Cell56"	0.337385966582	0.509549972341
"Cell57"	0.827712255974	0.959431924582
"Cell58"	0.521009233806	0.569480364403
"Cell59"	0.250726373946	0.373274559656
"Cell60"	0.0477638893547	0.0816771814089
"Cell61"	0.056150861885	0.655139005778
"Cell62"	0.946165489209	0.0817185662244
"Cell63"	0.941604364558	0.552906649137
"Cell64"	0.670048760766	0.95681322441
"Cell65"	0.0106351496024	0.752957547817
