	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell47	Cell48	Cell49	Cell50	Cell51	Cell52	Cell53	Cell54	Cell55	Cell56	Cell57	Cell58	Cell59	Cell60	Cell61	Cell62	Cell63	Cell64	Cell65
MRPL18	0.15	0.96	0.84	0.71	0.82	0.55	0.88	1.00	0.30	0.47	0.25	0.35	0.12	0.57	0.09	0.75	0.47	0.69	0.55	0.70	0.66	0.63	0.62	0.65	0.44	0.74	0.75	0.47	0.43	0.16	0.46	0.80	0.13	0.17	0.32	0.99	0.28	0.34	0.52	0.00	0.37	0.16	0.04	0.68	0.04	0.72	0.23	0.85	0.04	0.93	0.34	0.04	0.56	0.80	0.01	0.70	0.31	0.41	0.76	0.44	0.24	0.59	0.05	0.03	0.51
1600012H06RIK	0.41	0.72	0.05	0.09	0.51	0.76	0.96	0.39	0.65	0.10	0.82	0.92	0.04	0.30	0.09	0.23	0.88	0.51	0.58	0.49	0.52	0.83	0.40	0.52	0.30	0.49	0.14	0.13	0.55	0.33	0.13	0.66	0.89	0.91	0.47	0.20	0.66	0.12	0.81	0.85	0.57	0.32	0.11	0.61	0.56	0.06	0.31	0.21	0.95	0.61	0.38	0.96	0.68	0.73	0.95	0.63	0.72	0.43	0.97	0.49	0.33	0.93	0.35	0.57	0.41
TBP	0.49	0.12	0.24	0.40	0.39	0.95	0.06	0.57	0.56	0.45	0.59	0.72	0.48	0.49	0.13	0.35	0.71	0.33	0.56	0.47	0.56	0.82	0.46	0.91	0.51	0.47	0.56	0.52	0.42	0.57	0.89	0.79	0.46	0.57	0.45	0.32	0.12	0.83	0.92	0.86	0.81	0.34	0.62	0.51	0.39	0.08	0.84	0.65	0.01	0.75	0.48	0.55	0.20	0.32	0.50	0.91	0.57	0.40	0.67	0.90	0.04	0.32	0.62	0.24	0.77
GLUL	0.50	0.36	0.17	0.87	0.18	0.37	1.00	0.20	0.86	0.52	0.37	0.58	0.36	1.00	0.83	0.39	0.96	0.48	0.19	0.34	0.08	0.42	0.24	0.29	0.56	0.17	0.66	0.84	0.42	0.32	0.86	0.94	0.54	0.92	0.43	0.55	0.73	0.26	0.66	0.32	0.74	0.50	0.29	0.31	0.50	0.01	0.85	0.97	0.18	0.35	0.60	0.56	0.44	0.41	0.31	0.36	0.97	1.00	0.51	0.96	1.00	0.43	0.85	0.31	0.88
FPR2	0.13	0.83	0.94	0.95	0.93	0.03	0.06	0.00	0.06	0.56	0.88	0.77	0.05	0.38	0.40	0.22	0.08	0.44	0.13	0.27	0.12	0.64	0.89	0.44	0.82	0.09	0.40	0.71	0.04	0.69	0.64	0.71	0.14	0.60	0.31	0.55	0.34	0.81	0.26	0.88	0.83	0.91	0.19	0.63	0.53	0.40	0.54	0.30	0.23	0.85	0.06	0.18	0.19	0.22	0.48	0.89	0.07	0.06	0.86	0.83	0.24	0.05	0.21	0.92	0.98
IER5	0.22	0.21	0.38	0.26	0.27	0.56	0.93	0.95	0.83	0.59	0.31	0.32	0.49	0.52	0.14	0.30	0.89	0.18	0.80	0.59	0.57	0.98	0.37	0.62	0.88	0.54	0.24	0.78	0.29	0.66	0.68	0.11	0.78	0.04	0.28	1.00	0.08	0.51	0.83	0.11	0.98	0.06	0.51	0.92	0.93	0.58	0.42	0.22	0.57	0.77	0.08	0.97	0.31	0.86	0.84	0.10	0.93	0.63	0.30	0.74	0.45	0.89	0.30	0.46	0.73
ZFP758	0.71	0.91	0.58	0.80	0.89	0.64	0.93	0.15	0.79	0.15	0.85	0.26	0.19	0.20	1.00	0.76	0.10	0.89	0.55	0.97	0.69	0.28	0.01	0.80	0.51	0.83	0.38	0.97	0.19	0.47	0.65	0.02	0.97	0.99	0.34	0.50	0.15	0.53	0.40	0.02	0.70	0.10	0.41	0.71	0.32	0.33	0.12	0.31	0.29	0.36	0.70	0.38	0.54	0.78	0.08	0.13	0.69	0.50	0.14	0.74	0.19	0.05	0.41	0.31	0.97
HCFC1R1	0.53	0.63	1.00	0.65	0.48	0.52	0.80	0.30	0.97	0.02	0.36	0.59	0.34	0.31	0.06	0.30	0.04	0.80	0.07	0.25	0.34	0.51	0.88	0.26	0.14	0.81	0.72	0.74	0.46	0.82	0.84	0.60	0.19	0.46	0.36	0.40	0.89	0.84	0.36	0.37	0.26	0.78	0.96	0.25	0.55	0.59	0.71	0.04	0.55	0.76	0.64	0.13	0.18	0.88	0.08	0.05	0.83	0.13	0.13	0.96	0.70	0.59	0.17	0.65	0.59
PDPK1	0.86	0.41	0.91	0.30	0.99	0.04	0.24	0.61	0.26	0.11	0.47	0.54	0.70	0.63	0.68	0.89	0.44	0.82	0.21	0.82	0.39	0.36	0.22	0.34	0.55	0.46	0.42	0.72	0.29	0.20	0.45	0.71	0.96	0.71	0.89	0.10	0.37	0.04	0.79	0.87	0.88	0.05	0.24	0.60	0.26	0.16	0.07	0.31	0.10	0.71	0.38	0.73	0.36	0.47	0.42	0.07	0.59	0.55	0.22	0.39	0.54	0.40	0.31	0.53	0.02
RNPS1	0.28	0.12	0.04	0.24	0.65	0.90	0.22	0.82	0.03	0.28	0.66	0.15	0.37	0.98	0.97	0.51	1.00	0.93	0.03	0.51	0.20	0.17	0.91	0.93	0.62	0.99	0.70	0.50	0.47	0.92	0.25	0.39	0.83	0.94	0.14	0.39	0.73	0.01	0.68	0.57	0.42	0.02	0.38	0.51	0.54	0.72	0.22	0.38	0.84	0.94	0.96	0.85	0.96	0.51	0.10	0.70	0.52	0.44	0.77	0.81	0.37	0.88	0.71	0.20	0.59
ZFP598	0.25	0.02	0.96	0.20	0.83	0.43	0.28	0.53	0.90	0.41	0.85	0.38	0.82	0.82	0.57	0.87	0.97	0.82	0.95	0.10	0.52	0.49	0.40	0.89	0.59	0.67	0.69	0.93	0.30	0.03	0.40	0.34	0.29	0.62	0.86	0.22	0.47	0.11	0.13	0.95	0.24	0.91	0.58	0.85	0.72	0.31	0.64	0.47	0.35	0.44	0.03	0.39	0.81	0.94	0.42	0.99	0.57	0.99	0.81	0.73	0.05	0.77	0.85	0.99	0.86
NUBP2	0.99	0.37	0.89	0.20	0.20	0.30	0.48	0.83	0.53	0.14	0.59	0.36	0.32	0.25	0.64	0.28	0.00	0.13	0.38	0.13	0.96	0.11	0.82	0.62	0.48	0.44	0.49	0.28	0.12	0.94	0.02	0.27	0.43	0.82	0.99	0.95	0.06	0.46	0.76	0.37	0.28	0.23	0.93	0.83	0.33	0.21	0.56	0.10	0.61	0.09	0.52	0.51	0.20	0.45	0.84	0.99	0.03	0.48	0.96	0.14	0.43	0.57	0.18	0.92	0.90
TELO2	0.63	0.01	0.57	0.15	0.39	0.59	0.06	0.62	0.68	0.23	0.92	0.42	0.09	0.98	0.46	0.64	0.29	0.50	0.89	0.31	0.33	0.63	0.59	0.72	0.11	0.70	0.77	0.45	0.99	0.69	0.53	0.11	0.85	1.00	0.86	0.06	0.14	0.03	0.18	0.54	0.95	0.96	0.90	0.36	0.36	0.66	0.34	0.91	0.88	0.64	0.05	0.72	0.12	0.24	0.99	0.79	0.70	0.46	0.16	0.15	0.50	0.40	0.65	0.35	0.05
