	ICA	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	RBF Kernel PCA	Spectral Embedding	tSNE10	tSNE30
HALLMARK_PANCREAS_BETA_CELLS	0.75904	0.75758	0.75629	0.75922	0.74643	0.74405	0.74823	0.75224	0.76	0.76044
HALLMARK_TGF_BETA_SIGNALING	0.78254	0.78355	0.78202	0.77567	0.77936	0.7674	0.74824	0.7878	0.78698	0.7867
HALLMARK_ADIPOGENESIS	0.80632	0.79148	0.81871	0.79447	0.80373	0.7648	0.75406	0.80056	0.79749	0.79762
HALLMARK_BILE_ACID_METABOLISM	0.79894	0.79044	0.79963	0.7918	0.80136	0.78594	0.75289	0.80199	0.80134	0.79541
HALLMARK_MITOTIC_SPINDLE	0.77789	0.76803	0.77255	0.77895	0.76043	0.77323	0.7459	0.76802	0.75705	0.76579
HALLMARK_INFLAMMATORY_RESPONSE	0.83658	0.82998	0.84457	0.83976	0.8494	0.77327	0.75523	0.82646	0.8326	0.8354
HALLMARK_ESTROGEN_RESPONSE_LATE	0.84613	0.83844	0.84859	0.83771	0.85434	0.78522	0.75991	0.83332	0.84797	0.84778
HALLMARK_IL2_STAT5_SIGNALING	0.80782	0.79987	0.81729	0.80643	0.81086	0.76316	0.75173	0.79609	0.80632	0.80587
HALLMARK_P53_PATHWAY	0.7948	0.77851	0.7983	0.798	0.79572	0.77265	0.75755	0.78322	0.79335	0.79255
HALLMARK_HEME_METABOLISM	0.80547	0.80802	0.79461	0.80343	0.80265	0.75726	0.75987	0.80161	0.80245	0.80914
HALLMARK_NOTCH_SIGNALING	0.75535	0.75907	0.75206	0.75302	0.75056	0.75363	0.75405	0.7515	0.76236	0.76173
HALLMARK_ALLOGRAFT_REJECTION	0.79393	0.78507	0.80415	0.79682	0.79724	0.76902	0.74842	0.79278	0.80239	0.80157
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.8371	0.83175	0.84311	0.84091	0.84471	0.77709	0.75408	0.82534	0.82739	0.82896
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.82578	0.82785	0.83462	0.83261	0.84694	0.77304	0.7524	0.82228	0.84254	0.83766
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.8354	0.85349	0.86475	0.86474	0.8785	0.77933	0.75746	0.83309	0.85889	0.86445
HALLMARK_PEROXISOME	0.80653	0.79027	0.80302	0.79083	0.81062	0.78864	0.75523	0.80592	0.80076	0.80169
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.82299	0.81962	0.81669	0.82291	0.82366	0.77186	0.75289	0.81621	0.81602	0.81183
HALLMARK_MYOGENESIS	0.82654	0.83868	0.83145	0.83364	0.83576	0.767	0.75438	0.83118	0.83902	0.83679
HALLMARK_MTORC1_SIGNALING	0.79397	0.77344	0.80048	0.76894	0.78308	0.78283	0.75286	0.78386	0.7928	0.79423
HALLMARK_FATTY_ACID_METABOLISM	0.8389	0.81237	0.84637	0.81973	0.84584	0.79822	0.74907	0.82631	0.82818	0.82926
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.76485	0.75596	0.75155	0.74913	0.74526	0.76102	0.74822	0.75285	0.77277	0.76609
