	ICA	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	RBF Kernel PCA	Spectral Embedding	tSNE10	tSNE30
HALLMARK_PANCREAS_BETA_CELLS	-0.20581	-0.19217	-0.12516	-0.20874	-0.03546	-0.01955	-0.06447	-0.10601	-0.16391	-0.17785
HALLMARK_TGF_BETA_SIGNALING	-1.64724	-2.13538	-1.34917	-1.08254	-1.18384	-0.69428	-0.07019	-2.54838	-1.71096	-1.71181
HALLMARK_ADIPOGENESIS	-7.82765	-5.5455	-8.27802	-5.52927	-6.16178	-0.3815	-0.66569	-6.80543	-4.69852	-4.8102
HALLMARK_BILE_ACID_METABOLISM	-4.43156	-3.79555	-3.58078	-3.49727	-4.47122	-3.09488	-0.4448	-5.6917	-4.18812	-3.3115
HALLMARK_MITOTIC_SPINDLE	-1.72839	-1.09642	-0.55389	-2.23281	-0.18521	-1.07405	-0.01905	-0.79725	-0.11516	-0.39704
HALLMARK_INFLAMMATORY_RESPONSE	-14.98334	-15.40004	-15.09177	-17.40309	-18.94372	-1.16886	-0.93172	-12.87043	-11.96878	-13.34387
HALLMARK_ESTROGEN_RESPONSE_LATE	-18.65146	-18.93706	-16.50545	-16.58183	-21.04625	-2.96353	-2.63869	-15.41212	-17.32598	-17.87459
HALLMARK_IL2_STAT5_SIGNALING	-6.32223	-5.80225	-7.0616	-6.52421	-6.49727	-0.36394	-0.29511	-4.41671	-5.13581	-5.22232
HALLMARK_P53_PATHWAY	-4.78766	-2.63502	-3.62583	-6.49325	-4.28155	-1.01383	-1.62756	-2.82146	-3.83158	-3.74079
HALLMARK_HEME_METABOLISM	-7.57277	-11.01038	-2.9923	-8.14219	-5.88913	-0.1173	-2.57242	-7.09921	-5.88778	-7.84066
HALLMARK_NOTCH_SIGNALING	-0.14199	-0.22502	-0.07098	-0.10782	-0.06507	-0.11643	-0.69251	-0.096	-0.20593	-0.19902
HALLMARK_ALLOGRAFT_REJECTION	-3.54608	-2.85802	-4.34679	-4.40988	-3.73523	-0.75262	-0.0676	-3.7919	-4.37514	-4.37465
HALLMARK_INTERFERON_GAMMA_RESPONSE	-19.94205	-22.25107	-16.6369	-25.18144	-21.80054	-1.55276	-0.66593	-15.89742	-14.10051	-14.99993
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-9.64299	-11.98759	-11.07851	-12.07468	-15.34476	-1.20687	-0.41361	-9.72461	-12.86212	-11.55173
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-14.55174	-26.23771	-22.9838	-29.16544	-32.89971	-1.95602	-1.61967	-15.33245	-21.79821	-25.12006
HALLMARK_PEROXISOME	-6.02571	-3.76628	-4.14638	-3.32902	-6.44412	-3.63334	-0.93052	-6.62287	-4.08504	-4.394
HALLMARK_INTERFERON_ALPHA_RESPONSE	-10.39933	-11.55386	-6.92459	-11.24431	-9.878	-1.0254	-0.4465	-9.47169	-7.28157	-6.52552
HALLMARK_MYOGENESIS	-11.52157	-19.03405	-10.84539	-15.03676	-13.81611	-0.599	-0.7279	-14.61476	-14.10841	-13.8287
HALLMARK_MTORC1_SIGNALING	-4.59751	-1.78893	-4.02143	-0.93069	-2.02174	-2.45985	-0.44604	-2.93873	-3.7289	-4.08191
