	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	Spectral Embedding	tSNE10	tSNE30
HALLMARK_PANCREAS_BETA_CELLS	0.75573	0.75987	0.75922	0.74643	0.74405	0.75358	0.76178	0.76395
HALLMARK_TGF_BETA_SIGNALING	0.78945	0.78854	0.77567	0.77936	0.7674	0.78615	0.7893	0.78461
HALLMARK_ADIPOGENESIS	0.80439	0.80779	0.79447	0.80373	0.7648	0.79219	0.79863	0.79714
HALLMARK_BILE_ACID_METABOLISM	0.79068	0.8031	0.7918	0.80136	0.78594	0.79203	0.80373	0.80502
HALLMARK_MITOTIC_SPINDLE	0.77217	0.77804	0.77895	0.76043	0.77323	0.76593	0.76564	0.76381
HALLMARK_INFLAMMATORY_RESPONSE	0.83428	0.85059	0.83976	0.8494	0.77327	0.8273	0.84135	0.84127
HALLMARK_ESTROGEN_RESPONSE_LATE	0.82985	0.85234	0.83771	0.85434	0.78522	0.82574	0.84975	0.84821
HALLMARK_IL2_STAT5_SIGNALING	0.80442	0.81845	0.80643	0.81086	0.76316	0.79471	0.81114	0.8108
HALLMARK_P53_PATHWAY	0.80223	0.80312	0.798	0.79572	0.77265	0.79378	0.79903	0.79748
HALLMARK_HEME_METABOLISM	0.79832	0.81166	0.80343	0.80265	0.75726	0.79044	0.8047	0.80777
HALLMARK_NOTCH_SIGNALING	0.75019	0.75487	0.75302	0.75056	0.75363	0.75368	0.75945	0.75241
HALLMARK_ALLOGRAFT_REJECTION	0.80481	0.81289	0.79682	0.79724	0.76902	0.79793	0.80873	0.80825
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.83833	0.84956	0.84091	0.84471	0.77709	0.83423	0.84216	0.84174
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.82931	0.83179	0.83261	0.84694	0.77304	0.82583	0.84297	0.84532
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.87266	0.86999	0.86474	0.8785	0.77933	0.85395	0.87437	0.87778
HALLMARK_PEROXISOME	0.79977	0.81233	0.79083	0.81062	0.78864	0.79712	0.80058	0.79982
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.82103	0.82373	0.82291	0.82366	0.77186	0.81756	0.82805	0.82115
HALLMARK_MYOGENESIS	0.83061	0.83526	0.83364	0.83576	0.767	0.82949	0.83941	0.83889
HALLMARK_MTORC1_SIGNALING	0.7795	0.79778	0.76894	0.78308	0.78283	0.77275	0.79739	0.79477
HALLMARK_FATTY_ACID_METABOLISM	0.81964	0.84472	0.81973	0.84584	0.79822	0.82074	0.83644	0.83605
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.76465	0.75068	0.74913	0.74526	0.76102	0.75157	0.75987	0.75368
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.79094	0.80654	0.79631	0.80642	0.79454	0.78877	0.80248	0.79685
HALLMARK_ANGIOGENESIS	0.77463	0.77773	0.77573	0.75909	0.78678	0.77501	0.77467	0.77576
HALLMARK_MYC_TARGETS_V1	0.78758	0.78792	0.7968	0.79322	0.75373	0.77783	0.81093	0.80491
HALLMARK_MYC_TARGETS_V2	0.76702	0.76176	0.75684	0.75922	0.7646	0.75785	0.77445	0.77012
HALLMARK_HYPOXIA	0.81443	0.82379	0.82129	0.8143	0.79069	0.80901	0.82828	0.82875
HALLMARK_SPERMATOGENESIS	0.75173	0.76167	0.75183	0.75057	0.7445	0.74437	0.75762	0.75174
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.79641	0.78998	0.78321	0.79739	0.77908	0.78832	0.80376	0.80657
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.87814	0.88788	0.88752	0.87333	0.78712	0.86918	0.87936	0.87437
HALLMARK_DNA_REPAIR	0.75051	0.75772	0.74976	0.75679	0.75829	0.74675	0.77069	0.75463
HALLMARK_E2F_TARGETS	0.76809	0.76773	0.75793	0.76397	0.75879	0.75168	0.77053	0.76344
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.82617	0.81849	0.81801	0.81723	0.75801	0.82001	0.81262	0.82144
HALLMARK_PROTEIN_SECRETION	0.77126	0.7746	0.76948	0.76342	0.77314	0.7684	0.77899	0.78014
HALLMARK_APOPTOSIS	0.84898	0.85904	0.8563	0.85793	0.76202	0.84676	0.86166	0.8582
HALLMARK_ANDROGEN_RESPONSE	0.77596	0.78107	0.77505	0.78017	0.76285	0.77589	0.77832	0.78056
HALLMARK_KRAS_SIGNALING	0.76073	0.75699	0.75801	0.75619	0.76682	0.75777	0.75459	0.76006
HALLMARK_COMPLEMENT	0.84558	0.86217	0.8536	0.86139	0.80826	0.84045	0.8553	0.85457
HALLMARK_APICAL_JUNCTION	0.7885	0.79217	0.789	0.7952	0.76152	0.78533	0.78441	0.77978
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.80264	0.80498	0.80892	0.81327	0.76424	0.79946	0.82039	0.82732
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.75208	0.75849	0.76221	0.75854	0.75707	0.76722	0.76252	0.75946
HALLMARK_G2M_CHECKPOINT	0.75692	0.75619	0.76227	0.75584	0.76234	0.74449	0.76566	0.75791
HALLMARK_APICAL_SURFACE	0.74942	0.75088	0.76077	0.75306	0.74727	0.75649	0.75654	0.75309
HALLMARK_XENOBIOTIC_METABOLISM	0.83417	0.83491	0.82581	0.83701	0.80635	0.82215	0.83732	0.83104
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.74555	0.74582	0.7566	0.74733	0.7561	0.74601	0.75105	0.75325
HALLMARK_GLYCOLYSIS	0.77738	0.77353	0.76725	0.77501	0.76304	0.77157	0.77428	0.77298
HALLMARK_UV_RESPONSE	0.75035	0.76488	0.75533	0.76385	0.76859	0.75697	0.7677	0.76715
HALLMARK_COAGULATION	0.88729	0.89626	0.89805	0.89268	0.82562	0.87557	0.89103	0.88998
HALLMARK_HEDGEHOG_SIGNALING	0.75875	0.76844	0.75619	0.76502	0.767	0.75376	0.78051	0.77652
Zero_Proportion	0.83642	0.86567	0.82607	0.86778	0.8357	0.81823	0.86732	0.85799
FP_Quality	0.82373	0.84101	0.81872	0.83117	0.79389	0.81281	0.83244	0.82571
