	PC 1	PC 2	PC 3
A2M	0.16875	0.02364	-0.00805
AATF	0.0151	-0.01599	0.01574
ABHD4	0.07987	-0.01698	0.07111
ABT1	-0.00044	0.02532	0.00816
ACLY	-0.00538	0.00852	0.00264
ACO2	0.04015	-0.00019	0.00358
ACPL2	0.03074	0.02246	0.06103
ACSBG1	-0.01838	-0.04076	0.10011
ACTR8	0.01497	-0.00167	0.0232
ACY1	0.03925	0.02509	0.01708
ADAM9	0.03955	0.05066	0.07363
ADAM10	0.00962	0.06217	0.05202
ADCYAP1R1	-0.02604	-0.00478	0.04002
ADM	0.03825	0.05228	-0.08924
AGT	0.03233	0.11278	0.0375
AHCYL1	0.07976	-0.08329	-0.00937
AIF1L	-0.00245	-0.08964	0.14261
AKAP12	-0.00304	0.10241	-0.07222
ALDH18A1	0.00004	0.0075	0.03849
ALDOC	0.02237	-0.02908	0.06496
AMPD2	0.01624	0.01274	-0.02136
ANGEL1	0.00901	-0.00297	0.0389
ANXA1	0.12428	-0.05566	0.04166
ANXA2	0.0692	0.08923	0.03845
ANXA6	-0.00108	-0.04841	0.00617
AP5M1	0.00217	0.00406	0.04123
APEH	0.0126	0.00387	0.04725
APOD	-0.06075	-0.04754	-0.1198
AQP4	0.0999	-0.16607	0.14393
ARHGEF6	0.00396	0.03524	0.03749
ARMCX1	0.01673	-0.00336	-0.02829
ARRDC3	0.00927	0.05249	-0.03912
ARSJ	0.01796	0.10041	0.06018
ATG13	0.00862	-0.00798	0.02424
ATIC	-0.00668	0.00491	0.03501
ATP1A2	-0.03961	-0.10696	0.17176
ATP6V1B2	0.01638	-0.00231	0.00541
B3GALNT1	0.01355	0.02315	0.04025
BCAN	-0.03135	-0.14427	-0.01862
BCAT1	-0.05342	0.13069	0.03652
BCL2L13	0.00709	0.01769	0.05035
BCL6	0.09792	0.02231	-0.03412
BHLHE40	0.06559	0.04071	-0.03399
BMP5	-0.01915	0.11065	0.01681
BTBD3	0.00168	-0.04964	0.0787
BTG2	0.04442	-0.03235	-0.02307
C1R	0.13139	0.07301	0.0283
C1S	0.14627	0.00222	0.01286
C3	0.1358	-0.06645	-0.05007
C5ORF4	0.00656	-0.0102	0.04878
C5ORF62	-0.0334	0.05504	0.00539
C8ORF4	0.10894	-0.00541	-0.03917
C10ORF10	0.0182	0.02251	-0.05276
C10ORF12	0.00148	-0.0087	0.01082
C12ORF35	0.01384	-0.00692	-0.01083
C15ORF44	-0.01355	0.03226	0.02892
C16ORF57	0.01237	0.01168	0.06234
C19ORF48	-0.00005	-0.04692	-0.01055
C21ORF62	0.06678	-0.11003	0.00151
CA2	0.08526	-0.04209	0.15584
CAPG	0.07779	-0.0301	0.01313
CARKD	-0.02829	0.034	0.02186
CAV1	0.08359	0.02334	-0.03956
CCNB1	-0.01761	-0.01859	0.0551
CCNE2	-0.03215	-0.01081	0.02502
CD44	0.16239	-0.04508	-0.03406
CD74	0.08587	-0.05359	-0.03315
CD97	-0.01364	-0.01349	0.07144
CDC7	-0.01335	-0.03335	0.05152
CDKN1A	0.03447	0.00154	0.00475
CFI	0.10085	0.0979	0.01701
CHI3L1	0.21907	0.12949	-0.02202
CHI3L2	0.14454	-0.07774	-0.04752
CLDN10	-0.0221	-0.02376	0.08567
CLDN12	-0.00172	0.06819	0.04323
CLIC4	0.05817	0.05345	0.02646
CNDP2	0.02155	-0.02284	0.04338
CNGA3	-0.00149	0.0068	0.0404
CNR1	0.00457	0.10481	0.00937
COL1A2	0.02802	0.12844	0.03058
COPA	-0.00665	0.02535	-0.0001
COPB1	0.01254	0.02554	0.02443
COPG1	-0.014	-0.00809	0.01682
COQ5	0.01579	0.02799	0.02966
CPNE4	-0.04012	0.00574	0.09354
CPVL	0.00295	0.07929	0.04053
CREB3	0.03756	-0.04859	-0.03249
CRISPLD1	0.04536	-0.0753	0.05554
CRKL	0.0282	-0.04096	-0.03258
CSRP1	0.0755	-0.04874	0.057
CTPS1	-0.01433	0.00896	0.05088
CTSA	0.05158	0.00863	0.05103
CTSK	0.02548	0.03974	-0.01135
CTSL1	0.04485	0.03937	0.02923
CXCR7	0.07923	-0.0283	0.02294
CYB5R1	0.04854	0.01084	0.03066
CYBRD1	0.04123	-0.02201	0.0005
CYFIP2	0.00247	-0.0118	0.02447
DBNDD2	-0.00657	-0.01622	-0.04462
DCX	-0.05628	-0.03813	-0.07226
DDIT4	-0.02009	-0.02517	0.00129
DDX3Y	0.03439	-0.08426	-0.03689
DDX23	0.00786	-0.00646	0.02304
DDX41	0.01221	-0.02037	0.0535
DFNA5	0.02445	0.00772	0.00174
DHCR7	0.01683	0.06454	0.02336
DHRS3	0.03084	0.07465	-0.06722
DIRAS3	0.00247	0.06501	0.00435
DNAJA3	0.006	0.0189	0.00944
DNAJB1	0.04127	-0.00347	-0.02629
DNAJB9	0.01169	0.01962	-0.06769
DOLK	0.02688	-0.01299	0.03119
DPAGT1	0.04616	0.00434	0.03699
DPH2	-0.00358	0.03068	0.03601
DPYD	0.09467	0.00827	-0.05646
DUSP3	0.04069	0.02264	-0.00613
DUSP6	-0.0367	0.0628	0.01345
EDNRB	-0.02444	-0.11258	0.0973
EFEMP1	0.07699	0.17436	-0.02169
EFNA1	0.04574	0.0501	-0.06258
EFTUD2	0.00436	0.00247	0.05241
EGFR	-0.09927	-0.099	-0.0198
ELMO2	0.01969	-0.00629	0.023
ELOVL2	-0.04464	-0.00011	0.1061
ELOVL5	0.03151	0.0339	0.05364
ENO2	0.01326	0.01063	-0.10432
