	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	Spectral Embedding	tSNE10	tSNE30
HALLMARK_PANCREAS_BETA_CELLS	0	-0.03173	0	-0.03041	-0.117	0	0	-0.03491
HALLMARK_TGF_BETA_SIGNALING	-1.21887	-1.52658	-1.46759	-1.00971	-0.73406	-0.59633	-1.51504	-1.31195
HALLMARK_ADIPOGENESIS	-1.83127	-1.97123	-1.72294	-2.56974	-1.30861	-1.38892	-2.89542	-2.5194
HALLMARK_BILE_ACID_METABOLISM	-1.96403	-2.12178	-2.2244	-2.11008	-0.99381	-3.02516	-1.01208	-1.20756
HALLMARK_MITOTIC_SPINDLE	0	0	0	0	0	0	0	0
HALLMARK_INFLAMMATORY_RESPONSE	-5.54909	-3.96365	-4.52284	-2.44726	-0.12451	-3.16575	-1.80606	-1.99477
HALLMARK_ESTROGEN_RESPONSE_LATE	-4.75081	-5.19723	-5.57177	-3.87911	-1.02497	-4.09923	-1.65457	-3.19324
HALLMARK_IL2_STAT5_SIGNALING	-3.31423	-2.73254	-2.76072	-1.60194	-0.01331	-2.44307	-1.34538	-1.57666
HALLMARK_P53_PATHWAY	-0.97704	-0.89699	-1.81793	-0.7293	0	-0.73962	-0.44967	-0.61775
HALLMARK_HEME_METABOLISM	-3.32186	-1.73844	-2.61356	-0.82359	0	-2.98414	-0.15115	-1.15943
HALLMARK_NOTCH_SIGNALING	-0.09676	-0.01774	-0.04158	0	-0.28728	-0.04719	0	0
HALLMARK_ALLOGRAFT_REJECTION	-1.48769	-1.02317	-1.50591	-1.2094	-0.29411	-0.83481	-0.95579	-0.96446
HALLMARK_INTERFERON_GAMMA_RESPONSE	-2.57219	-1.06952	-2.19088	-1.22848	0	-1.39163	-0.12925	-0.30715
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-3.42668	-2.24616	-2.89579	-1.51375	-0.16453	-2.88989	-0.98536	-1.67237
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-10.32573	-7.83093	-6.90927	-4.91272	0	-5.9942	-1.9534	-4.3045
HALLMARK_PEROXISOME	-1.37946	-1.79993	-1.82148	-2.55267	-1.88189	-1.2099	-1.10873	-1.46936
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.90357	-0.51598	-1.79501	-1.23291	-0.46074	-0.7746	-0.17178	-0.25871
HALLMARK_MYOGENESIS	-5.54426	-3.62709	-4.92832	-2.4385	0	-5.18029	-1.2436	-2.63619
HALLMARK_MTORC1_SIGNALING	-0.68947	-1.10637	-1.06799	-0.90573	-0.72477	-1.20675	-2.23773	-2.11042
HALLMARK_FATTY_ACID_METABOLISM	-2.45339	-2.51949	-2.55318	-3.82575	-2.45144	-2.51897	-1.88089	-2.46616
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0	-0.11781	-0.00452	-0.00826	-0.54846	0	-1.15542	-0.98643
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.51013	-0.60533	-1.54372	-1.19786	-0.70471	-0.53009	-0.65578	-1.06698
HALLMARK_ANGIOGENESIS	0	0	-0.14149	0	-0.17283	0	0	0
