	ICA	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	RBF Kernel PCA	Spectral Embedding	tSNE10	tSNE30
HALLMARK_PANCREAS_BETA_CELLS	0.76879	0.7591	0.76844	0.78763	0.77284	0.75959	0.77332	0.77326	0.76443	0.76414
HALLMARK_TGF_BETA_SIGNALING	0.81597	0.79496	0.80756	0.85403	0.84586	0.79279	0.81486	0.82069	0.81252	0.81991
HALLMARK_ADIPOGENESIS	0.8782	0.82244	0.8349	0.91059	0.90597	0.8211	0.87149	0.86095	0.82041	0.83125
HALLMARK_BILE_ACID_METABOLISM	0.84075	0.8373	0.81144	0.87885	0.88134	0.82405	0.8385	0.86241	0.83198	0.84699
HALLMARK_MITOTIC_SPINDLE	0.80201	0.79417	0.78063	0.8474	0.85429	0.8117	0.79687	0.80448	0.79038	0.81136
HALLMARK_INFLAMMATORY_RESPONSE	0.86376	0.84872	0.82647	0.89238	0.88485	0.80438	0.86295	0.8694	0.84805	0.87258
HALLMARK_ESTROGEN_RESPONSE_LATE	0.87227	0.84863	0.83533	0.90368	0.91226	0.82509	0.86736	0.87351	0.84959	0.86719
HALLMARK_IL2_STAT5_SIGNALING	0.84266	0.82921	0.80755	0.88396	0.88539	0.79791	0.83059	0.84191	0.81594	0.83839
HALLMARK_P53_PATHWAY	0.84121	0.80267	0.81793	0.8847	0.88512	0.81033	0.83591	0.83157	0.81608	0.8338
HALLMARK_HEME_METABOLISM	0.83973	0.82954	0.80865	0.88909	0.89522	0.81339	0.8289	0.8614	0.82359	0.84268
HALLMARK_NOTCH_SIGNALING	0.76564	0.76221	0.76215	0.77559	0.77572	0.75954	0.77492	0.76332	0.76297	0.77003
HALLMARK_ALLOGRAFT_REJECTION	0.83934	0.79362	0.83225	0.87202	0.86124	0.78212	0.84008	0.82469	0.81079	0.82698
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.8456	0.8139	0.83438	0.86875	0.86277	0.77689	0.84522	0.84253	0.83849	0.85084
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.84713	0.82341	0.82232	0.84625	0.85448	0.79188	0.84382	0.83824	0.8388	0.84597
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.89062	0.87275	0.83333	0.89958	0.87828	0.80952	0.88685	0.86611	0.85188	0.87212
HALLMARK_PEROXISOME	0.86416	0.82058	0.83458	0.89667	0.89864	0.8262	0.85765	0.86411	0.81941	0.83956
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.83493	0.80247	0.81368	0.85832	0.86068	0.7841	0.83418	0.82203	0.83478	0.84368
HALLMARK_MYOGENESIS	0.87489	0.8688	0.81922	0.89074	0.88326	0.80948	0.86567	0.86913	0.85466	0.87443
HALLMARK_MTORC1_SIGNALING	0.84547	0.82421	0.8319	0.89121	0.89305	0.83231	0.84282	0.84807	0.80809	0.83517
HALLMARK_FATTY_ACID_METABOLISM	0.88318	0.8293	0.84813	0.92381	0.92259	0.83465	0.87581	0.87333	0.82982	0.84664
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.81742	0.78352	0.81216	0.85639	0.86132	0.82316	0.82184	0.81219	0.78875	0.7986
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.84143	0.82214	0.81626	0.8706	0.87262	0.80845	0.84617	0.84747	0.80521	0.81469
HALLMARK_ANGIOGENESIS	0.78026	0.78552	0.76902	0.78333	0.79327	0.77543	0.77686	0.77267	0.78426	0.78548
HALLMARK_MYC_TARGETS_V1	0.83192	0.77137	0.80936	0.85701	0.82772	0.84352	0.83851	0.81908	0.77644	0.79627
HALLMARK_MYC_TARGETS_V2	0.80799	0.76806	0.78218	0.83723	0.82043	0.81314	0.80775	0.80086	0.77102	0.79015
HALLMARK_HYPOXIA	0.85048	0.83094	0.80354	0.86234	0.83745	0.80506	0.84261	0.84333	0.81607	0.83502
