	ICA	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	RBF Kernel PCA	Spectral Embedding	tSNE10	tSNE30
HALLMARK_PANCREAS_BETA_CELLS	-0.00788	0	-0.05814	-0.04117	0	0	-0.04163	-0.02517	-0.01566	0
HALLMARK_TGF_BETA_SIGNALING	-0.74597	-0.57218	-1.05129	-1.11488	-0.76334	-0.35127	-0.73391	-0.80489	-1.59623	-1.33111
HALLMARK_ADIPOGENESIS	-5.17052	-1.50925	-1.90596	-2.39039	-1.57134	-0.18434	-4.72336	-2.11519	-1.53155	-1.07135
HALLMARK_BILE_ACID_METABOLISM	-1.30765	-3.19763	-0.62027	-1.09107	-1.05971	-1.07473	-1.28326	-2.5785	-2.98557	-2.92419
HALLMARK_MITOTIC_SPINDLE	0	-0.04201	0	0	0	-0.00061	0	0	0	-0.08563
HALLMARK_INFLAMMATORY_RESPONSE	-3.13811	-4.7161	-1.53784	-1.84484	-1.24691	-0.12795	-3.24203	-3.24316	-5.36031	-6.66346
HALLMARK_ESTROGEN_RESPONSE_LATE	-4.03526	-4.71009	-2.33078	-2.6611	-3.2517	-1.14874	-3.69025	-3.66077	-5.6309	-5.74264
HALLMARK_IL2_STAT5_SIGNALING	-1.41857	-2.31089	-0.44264	-1.34463	-1.27626	-0.01494	-0.85379	-1.12065	-1.37081	-2.0561
HALLMARK_P53_PATHWAY	-0.95795	-0.27129	-0.56656	-0.5967	-0.35703	0	-0.83728	-0.25223	-1.13982	-1.28447
HALLMARK_HEME_METABOLISM	-0.85924	-2.24324	-0.16811	-0.80217	-0.83674	-0.0139	-0.47038	-2.15464	-1.8814	-2.16973
HALLMARK_NOTCH_SIGNALING	0	-0.00629	-0.00527	0	0	0	-0.05705	0	-0.00774	-0.01465
HALLMARK_ALLOGRAFT_REJECTION	-1.23094	-0.19013	-2.05177	-0.79255	-0.30411	0	-1.37227	-0.38171	-1.01202	-1.15551
HALLMARK_INTERFERON_GAMMA_RESPONSE	-1.26846	-0.84402	-1.84628	-0.08368	0	0	-1.507	-0.73092	-4.03676	-3.25138
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-2.44119	-2.28172	-2.05824	-0.82598	-1.07322	-0.31895	-2.23983	-1.63637	-4.19937	-3.40888
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-6.53912	-9.11167	-2.13868	-2.34038	-0.90804	-0.2913	-6.24521	-2.92154	-6.07376	-6.58612
HALLMARK_PEROXISOME	-3.18044	-1.54932	-2.25315	-2.13712	-2.11805	-1.24166	-2.71682	-2.72412	-1.65656	-2.15538
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.98749	-0.49347	-0.73219	-0.33808	-0.29076	0	-1.04285	-0.30516	-3.32675	-2.56832
HALLMARK_MYOGENESIS	-4.36738	-8.27489	-1.04346	-1.74056	-1.15551	-0.29246	-3.51604	-3.2225	-6.5951	-7.00622
HALLMARK_MTORC1_SIGNALING	-1.2591	-1.67825	-1.59386	-0.91338	-0.7281	-0.73321	-1.31486	-1.05986	-0.57159	-1.39529
HALLMARK_FATTY_ACID_METABOLISM	-6.08123	-2.21773	-3.62996	-3.89777	-3.28503	-0.87953	-5.46473	-3.54757	-2.65963	-2.66266
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.29583	-0.01488	-0.65581	-0.29216	-0.30503	-1.01403	-0.49213	-0.08467	-0.0784	-0.04213
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-1.34537	-1.67657	-0.85899	-0.73806	-0.67989	-0.25339	-1.77433	-1.44385	-0.68039	-0.49808
HALLMARK_ANGIOGENESIS	-0.00535	-0.25754	0	0	0	0	0	0	-0.24367	-0.08111
HALLMARK_MYC_TARGETS_V1	-0.1981	0	-0.02152	0	0	-0.79285	-0.8275	0	0	0
HALLMARK_MYC_TARGETS_V2	-0.08282	0	0	-0.00662	0	-0.44074	-0.11042	0	0	0
HALLMARK_HYPOXIA	-1.65017	-2.40486	-0.04292	-0.00849	0	0	-1.30283	-0.76884	-1.14013	-1.3833
HALLMARK_SPERMATOGENESIS	-0.00856	-0.1297	-0.01578	-0.05869	-0.05754	-0.45405	-0.04179	-0.01574	-0.03414	0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-8.29419	-0.01577	-2.02365	-2.02146	0	-2.41264	-9.28409	-0.42381	-0.45464	-0.46968
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-4.67781	-4.92328	-3.08947	-0.9031	-1.05011	0	-3.96039	-2.10264	-9.23223	-7.07124
HALLMARK_DNA_REPAIR	-0.76851	0	-1.38298	-0.69424	-0.00849	-0.11745	-1.29344	-0.18459	-0.06422	-0.21435
HALLMARK_E2F_TARGETS	0	0	0	0	0	-0.01545	0	0	0	0
HALLMARK_IL6_JAK_STAT3_SIGNALING	-1.45334	-2.1073	-1.97567	-1.69963	-1.45916	-0.38876	-1.43099	-1.52104	-2.58786	-2.73541
HALLMARK_PROTEIN_SECRETION	-0.86286	-1.09082	-2.22297	-2.04956	-2.82309	-1.34408	-0.8754	-2.46651	-1.81635	-1.76381
HALLMARK_APOPTOSIS	-4.46739	-6.10205	-1.8264	-2.76631	-1.69988	-0.01566	-4.03156	-4.62218	-5.39106	-6.59247
HALLMARK_ANDROGEN_RESPONSE	-1.038	-1.76186	-0.37164	-1.01176	-0.66785	-0.08426	-0.75512	-1.493	-1.31152	-1.16634
HALLMARK_KRAS_SIGNALING	0	0	0	0	0	0	0	0	0	0
HALLMARK_COMPLEMENT	-4.67841	-4.75165	-3.07907	-3.29924	-2.65664	-0.73914	-4.7447	-4.33493	-8.2837	-7.18861
HALLMARK_APICAL_JUNCTION	-0.49757	-0.63393	-0.80315	-0.61907	-0.86095	-0.4797	-0.62013	-0.64376	-1.31403	-1.50599
HALLMARK_ESTROGEN_RESPONSE_EARLY	-2.57869	-4.91224	-0.76916	-1.51361	-1.28187	-0.31033	-1.75195	-3.04916	-3.94712	-4.73682
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.6895	-0.24415	-0.54052	-0.67179	-0.57658	-0.13658	-0.54282	-0.66218	-0.08579	-0.34473
HALLMARK_G2M_CHECKPOINT	0	0	0	0	0	-0.16803	0	0	0	0
HALLMARK_APICAL_SURFACE	-0.44405	-0.02472	-0.35531	-0.17879	-0.25447	0	-0.39846	-0.3427	-0.34262	-0.19059
HALLMARK_XENOBIOTIC_METABOLISM	-3.38396	-1.49087	-3.88633	-2.54778	-1.97668	-0.73649	-3.63365	-2.91247	-2.05771	-2.37026
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.00898	-0.00725	0	0	0	0	-0.04204	-0.00803	0	0
HALLMARK_GLYCOLYSIS	-0.11083	0	-0.24778	-0.02596	0	0	-0.2258	-0.07316	-0.06332	0
HALLMARK_UV_RESPONSE	0	0	0	0	0	0	0	0	0	0
HALLMARK_COAGULATION	-9.19723	-9.98747	-4.71569	-3.60683	-3.38033	-0.67584	-8.27254	-6.95545	-13.22197	-10.4246
HALLMARK_HEDGEHOG_SIGNALING	0	0	0	0	0	0	0	0	-0.03012	0
Zero_Proportion	-102.6207	-55.19745	-57.56444	-300	-300	-107.00952	-111.4139	-154.81648	-50.61273	-85.80275
