	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	Spectral Embedding	tSNE10	tSNE30
HALLMARK_PANCREAS_BETA_CELLS	0.78601	0.78612	0.78763	0.77284	0.75959	0.76462	0.77836	0.77614
HALLMARK_TGF_BETA_SIGNALING	0.84417	0.85153	0.85403	0.84586	0.79279	0.8369	0.82197	0.85669
HALLMARK_ADIPOGENESIS	0.88469	0.90602	0.91059	0.90597	0.8211	0.88608	0.86973	0.89232
HALLMARK_BILE_ACID_METABOLISM	0.87343	0.87144	0.87885	0.88134	0.82405	0.86695	0.83619	0.86437
HALLMARK_MITOTIC_SPINDLE	0.85196	0.84543	0.8474	0.85429	0.8117	0.84733	0.83942	0.86316
HALLMARK_INFLAMMATORY_RESPONSE	0.86977	0.87195	0.89238	0.88485	0.80438	0.87854	0.8389	0.87811
HALLMARK_ESTROGEN_RESPONSE_LATE	0.88736	0.89538	0.90368	0.91226	0.82509	0.89114	0.85943	0.89083
HALLMARK_IL2_STAT5_SIGNALING	0.86948	0.87233	0.88396	0.88539	0.79791	0.86998	0.83076	0.87599
HALLMARK_P53_PATHWAY	0.85866	0.87224	0.8847	0.88512	0.81033	0.86572	0.83582	0.87502
HALLMARK_HEME_METABOLISM	0.8814	0.88034	0.88909	0.89522	0.81339	0.88057	0.85081	0.8849
HALLMARK_NOTCH_SIGNALING	0.77432	0.77431	0.77559	0.77572	0.75954	0.77155	0.77289	0.78622
HALLMARK_ALLOGRAFT_REJECTION	0.84227	0.86997	0.87202	0.86124	0.78212	0.84841	0.82985	0.86225
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.84064	0.86065	0.86875	0.86277	0.77689	0.85105	0.83504	0.86097
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.80935	0.8421	0.84625	0.85448	0.79188	0.85012	0.82853	0.84416
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.84909	0.87071	0.89958	0.87828	0.80952	0.87248	0.82338	0.87542
HALLMARK_PEROXISOME	0.88422	0.89114	0.89667	0.89864	0.8262	0.88163	0.85175	0.87515
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.83468	0.85277	0.85832	0.86068	0.7841	0.8459	0.82785	0.84806
HALLMARK_MYOGENESIS	0.86894	0.87306	0.89074	0.88326	0.80948	0.87373	0.84604	0.88497
HALLMARK_MTORC1_SIGNALING	0.87712	0.8926	0.89121	0.89305	0.83231	0.88097	0.85716	0.87944
HALLMARK_FATTY_ACID_METABOLISM	0.89731	0.90989	0.92381	0.92259	0.83465	0.8984	0.86032	0.89459
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.86593	0.86489	0.85639	0.86132	0.82316	0.84859	0.83795	0.86207
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.85994	0.87008	0.8706	0.87262	0.80845	0.85458	0.83032	0.85432
HALLMARK_ANGIOGENESIS	0.79341	0.78962	0.78333	0.79327	0.77543	0.78745	0.7742	0.79129
HALLMARK_MYC_TARGETS_V1	0.85647	0.86119	0.85701	0.82772	0.84352	0.81966	0.84103	0.84704
HALLMARK_MYC_TARGETS_V2	0.83515	0.84373	0.83723	0.82043	0.81314	0.80916	0.83527	0.82566
HALLMARK_HYPOXIA	0.84916	0.85019	0.86234	0.83745	0.80506	0.84965	0.81541	0.84744
HALLMARK_SPERMATOGENESIS	0.83307	0.82904	0.81082	0.8127	0.7953	0.79022	0.80497	0.81631
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.88765	0.90233	0.91283	0.86215	0.85765	0.86744	0.87978	0.88356
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.85729	0.88089	0.891	0.89866	0.7979	0.88336	0.84571	0.88679
HALLMARK_DNA_REPAIR	0.87297	0.8803	0.88682	0.86946	0.81905	0.85527	0.85078	0.87175
HALLMARK_E2F_TARGETS	0.85165	0.84965	0.84534	0.85098	0.81353	0.82506	0.84809	0.85627
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.84796	0.86804	0.86718	0.86354	0.79377	0.85074	0.81831	0.85977
HALLMARK_PROTEIN_SECRETION	0.89763	0.90011	0.8953	0.90752	0.82764	0.88157	0.86714	0.89633
HALLMARK_APOPTOSIS	0.89254	0.89718	0.91431	0.90747	0.81383	0.8974	0.85772	0.89372
HALLMARK_ANDROGEN_RESPONSE	0.85905	0.87242	0.87703	0.87223	0.80273	0.85806	0.82461	0.85609
HALLMARK_KRAS_SIGNALING	0.80873	0.81075	0.79693	0.79988	0.77795	0.78818	0.79684	0.80372
HALLMARK_COMPLEMENT	0.88801	0.9034	0.91907	0.91719	0.83247	0.8963	0.86817	0.90104
HALLMARK_APICAL_JUNCTION	0.86766	0.86762	0.8672	0.87721	0.81403	0.86649	0.84232	0.87712
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.86884	0.87003	0.88705	0.88551	0.81013	0.87155	0.83728	0.87751
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.86536	0.86454	0.86871	0.86987	0.80473	0.85827	0.8347	0.86375
HALLMARK_G2M_CHECKPOINT	0.85605	0.85892	0.83986	0.84242	0.82059	0.83015	0.84347	0.84962
HALLMARK_APICAL_SURFACE	0.79383	0.79779	0.79862	0.80349	0.75524	0.80105	0.78303	0.79842
HALLMARK_XENOBIOTIC_METABOLISM	0.8914	0.90658	0.91209	0.91044	0.83239	0.89161	0.85822	0.89456
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.80332	0.7998	0.79445	0.79175	0.76743	0.78713	0.78702	0.79496
HALLMARK_GLYCOLYSIS	0.85586	0.86688	0.8645	0.86087	0.79534	0.84592	0.84148	0.85902
HALLMARK_UV_RESPONSE	0.76277	0.75877	0.77253	0.75675	0.77344	0.75513	0.77184	0.76484
HALLMARK_COAGULATION	0.88572	0.89666	0.91447	0.91367	0.81771	0.90806	0.86395	0.89934
HALLMARK_HEDGEHOG_SIGNALING	0.77376	0.77057	0.77249	0.78537	0.75927	0.7771	0.77934	0.77658
Patient	0.57602	0.58145	0.4787	0.38731	0.46718	0.53754	0.58423	0.78203
