	PC 1	PC 2	PC 3
A2M	0.09267	-0.00997	0.02887
AAAS	-0.00049	0.00982	0.00487
AAK1	-0.00838	-0.00772	0.0139
AAMP	0.00279	-0.0052	0.00583
AARS	0.01059	0.01102	0.0195
AARSD1	-0.00746	-0.00402	0.00179
AASDH	-0.00614	-0.01318	0.00499
AASDHPPT	0.00195	0.03209	-0.02436
AASS	0.00595	0.01045	-0.00189
AATF	0.01306	0.00594	-0.01258
ABAT	-0.01748	-0.02621	-0.03031
ABCA1	0.01435	-0.0204	0.03247
ABCA8	-0.00678	0.02762	0.01699
ABCC3	-0.00511	0.00977	0.02138
ABCC5	0.00849	-0.01042	0.00889
ABCD2	0.00755	0.01727	-0.02047
ABCD3	-0.00092	0.01305	-0.00541
ABCD4	0.01246	-0.00635	-0.01186
ABCE1	-0.00029	0.01263	0.02024
ABCF2	0.00509	0.0164	-0.00991
ABCF3	0.0152	0.00689	0.00202
ABHD2	-0.01994	0.02037	-0.01455
ABHD4	0.05365	0.00956	-0.01813
ABHD5	0.01545	0.00213	0.00237
ABI1	0.02339	-0.00577	-0.0118
ABI2	-0.00826	0.02121	0.00251
ABL2	-0.0081	-0.01269	0.01165
ABLIM1	-0.01584	-0.00453	-0.00964
ABT1	0.0047	0.02117	0.00503
ACAA2	0.01352	0.02129	-0.01517
ACACA	-0.00583	0.00341	0.00592
ACAD8	0.00593	0.02741	-0.01496
ACAD9	0.01591	0.01555	-0.01319
ACAD10	0.00584	0.00507	0.0086
ACAD11	0.00749	-0.02012	0.02187
ACADM	0.00034	-0.00981	-0.00116
ACADSB	0.0097	-0.00661	0.00553
ACAP2	-0.00955	-0.00715	0.00487
ACAT1	0.01922	0.00433	-0.01453
ACAT2	0.00656	0.01696	-0.00769
ACBD5	0.02075	-0.00507	-0.00567
ACBD6	-0.00395	0.0051	-0.00561
ACER3	0.00533	0.01982	-0.0141
ACIN1	-0.01429	-0.00939	0.00996
ACLY	0.00168	0.01081	-0.00124
ACN9	-0.01351	0.00027	-0.00598
ACO1	0.02381	-0.00008	-0.02429
ACO2	0.02556	-0.0005	0.00221
ACOT7	-0.01686	0.02925	-0.00847
ACOT8	0.02106	-0.01222	0.00195
ACOT9	0.02294	0.0092	0.00036
ACOT13	0.00103	-0.0288	0.00497
ACOX1	0.00875	0.01291	0.0039
ACOX2	0.0195	0.02893	0.0044
ACOX3	0.01978	0.00084	-0.00107
ACP1	-0.00348	0.00046	-0.00085
ACP2	0.02225	0.02236	-0.01075
ACP6	0.01744	0.01302	0.02207
ACPL2	0.02446	0.02675	-0.00536
ACSBG1	-0.00569	0.00896	-0.03368
ACSL3	-0.03101	-0.00805	-0.01685
ACSL6	-0.02009	-0.0193	0.0071
ACTG1P4	-0.00281	-0.01197	0.04126
ACTL6A	0.00889	0.01382	-0.00848
ACTN1	0.03871	-0.02865	0.0134
ACTR1A	0.02048	0.00954	-0.0254
ACTR2	0.00684	-0.00235	-0.00175
ACTR8	0.01596	0.01377	-0.00985
ACTR10	0.00127	0.00596	0.00362
ACVR2A	-0.0032	0.01625	0.00661
ACY1	0.02427	0.01334	0.00343
ADAM9	0.0277	0.03723	0.00402
ADAM10	0.00835	0.03716	0.01697
ADAM17	0.00311	-0.00166	-0.00088
ADAM19	-0.02284	0.02219	-0.01248
ADAMTS9	-0.02051	0.03733	0.00922
ADAR	0.00344	-0.00008	0.01095
ADAT1	0.00438	0.00806	-0.00653
ADCK3	-0.0004	0.00145	0.01479
ADCYAP1R1	-0.01212	0.00834	-0.01907
ADD1	0.00109	0.00206	-0.00559
ADD3	0.02509	-0.03767	-0.01838
ADH5	0.00503	0.00617	-0.01843
ADI1	-0.01046	-0.00448	0.00671
ADK	0.01563	-0.00969	-0.01824
ADM	0.01531	-0.01028	0.05723
ADNP	-0.01414	-0.01418	-0.00427
ADRM1	0.00085	-0.0025	-0.0194
ADSL	0.00636	-0.00006	0.00261
AEBP2	0.01176	-0.0083	0.01661
AEN	-0.00531	0.01275	0.00733
AFF1	0.00067	-0.00572	0.01512
AFF4	-0.00523	-0.00663	0.01478
AFTPH	-0.00007	-0.00637	0.02006
AGA	0.0287	0.00061	0.00232
AGBL5	0.00765	0.00463	-0.00655
AGFG1	-0.00097	-0.00662	0.0106
AGK	-0.00293	0.01479	-0.00927
AGL	0.01217	-0.00105	-0.01151
AGMO	-0.00805	0.0142	-0.00073
AGPAT4	0.00989	0.0018	0.0136
AGPAT5	0.02241	0.0161	0.01422
AGPAT6	0.00727	0.01192	-0.00612
AGT	0.01893	0.045	0.02963
AGTRAP	0.04057	-0.0088	-0.00784
AHCTF1	-0.01712	-0.00287	0.01384
AHCY	0.01715	0.01694	-0.02044
AHCYL1	0.04188	-0.04923	-0.01444
