	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	Spectral Embedding	tSNE10	tSNE30
HALLMARK_PANCREAS_BETA_CELLS	-0.117	-0.10341	-0.10552	-0.17275	-0.38308	-0.15086	-0.12028	-0.14462
HALLMARK_TGF_BETA_SIGNALING	-1.21049	-1.69545	-1.44701	-1.99273	-1.07187	-1.3347	-1.88399	-2.21089
HALLMARK_ADIPOGENESIS	-5.54007	-3.89144	-8.66279	-4.60694	-0.17361	-2.89835	-2.77574	-3.46979
HALLMARK_BILE_ACID_METABOLISM	-3.99775	-4.56364	-2.82869	-1.99297	-0.68569	-7.31248	-3.16632	-2.75832
HALLMARK_MITOTIC_SPINDLE	-0.53677	-0.59727	-0.53187	-0.57497	-0.82729	-0.65947	-0.40465	-0.69786
HALLMARK_INFLAMMATORY_RESPONSE	-14.29457	-10.18124	-13.22166	-11.47081	-0.73977	-17.2684	-10.9801	-12.34542
HALLMARK_ESTROGEN_RESPONSE_LATE	-19.46047	-12.29942	-14.53516	-11.65894	-3.25302	-20.47009	-14.54026	-15.21613
HALLMARK_IL2_STAT5_SIGNALING	-7.73292	-3.95049	-2.5351	-4.11111	-0.3026	-6.78106	-3.79925	-4.49741
HALLMARK_P53_PATHWAY	-3.52914	-2.35794	-1.70098	-4.69814	-0.52043	-3.82952	-3.06261	-3.84434
HALLMARK_HEME_METABOLISM	-10.5665	-5.03065	-4.19303	-3.51968	-1.37468	-9.59025	-6.82641	-7.60086
HALLMARK_NOTCH_SIGNALING	-0.1171	-0.10053	-0.0699	-0.04634	-0.05124	-0.10771	-0.07875	-0.13801
HALLMARK_ALLOGRAFT_REJECTION	-1.46901	-2.27853	-5.3277	-3.34749	-0.44271	-1.85495	-2.62963	-2.50076
HALLMARK_INTERFERON_GAMMA_RESPONSE	-9.599	-5.39142	-15.65486	-15.30546	-1.37396	-9.01532	-7.68831	-8.04914
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-11.82752	-9.84421	-10.24449	-9.42164	-5.39224	-7.78382	-9.80167	-10.79768
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-28.50235	-19.72699	-19.87423	-34.50052	-15.78326	-15.21307	-22.19665	-23.12033
HALLMARK_PEROXISOME	-4.40152	-4.15316	-6.09124	-1.88403	-0.62641	-6.53754	-3.58518	-4.60556
HALLMARK_INTERFERON_ALPHA_RESPONSE	-3.16456	-3.56675	-6.08601	-6.78174	-1.33358	-5.66765	-3.60708	-4.51771
HALLMARK_MYOGENESIS	-11.82047	-7.80966	-11.47669	-11.86605	-5.35064	-11.84337	-11.44675	-11.28671
HALLMARK_MTORC1_SIGNALING	-1.28387	-2.73151	-5.08812	-1.07444	-1.64312	-2.66255	-1.96603	-1.90822
HALLMARK_FATTY_ACID_METABOLISM	-18.29452	-9.14249	-22.92994	-12.83774	-2.37572	-14.83299	-10.45837	-14.05859
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.12132	-0.52377	-0.68517	-0.01087	-0.24625	-0.04199	-0.02809	-0.03555
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-3.40804	-2.63048	-5.44338	-2.98366	-2.22415	-4.57107	-2.75677	-3.28745
HALLMARK_ANGIOGENESIS	-0.17991	-0.19106	-0.31266	-0.65129	-0.71139	-0.51026	-0.26011	-0.36736
HALLMARK_MYC_TARGETS_V1	-4.58529	-1.27307	-4.10294	-3.09604	-2.20193	-3.1007	-3.18172	-4.09702
HALLMARK_MYC_TARGETS_V2	-0.50771	-0.65157	-1.27655	-0.33322	-1.97322	-0.05499	-0.40854	-0.66183
HALLMARK_HYPOXIA	-9.49874	-5.73513	-4.0906	-14.00449	-10.67923	-4.09059	-4.57514	-5.58651
HALLMARK_SPERMATOGENESIS	-0.15806	-0.26282	-0.11461	-0.02838	-0.27075	-0.09734	-0.04255	-0.06223
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-12.86079	-3.22547	-1.17746	-7.78984	-12.74627	-4.19335	-4.0567	-5.75869
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-23.64466	-19.13379	-26.46658	-33.79555	-7.28573	-16.48402	-24.51428	-26.5551
HALLMARK_DNA_REPAIR	-0.03434	-0.08546	-0.17344	-0.0535	-0.04114	-0.08544	-0.0578	-0.07998
HALLMARK_E2F_TARGETS	-0.09743	-0.08468	-0.41855	-0.27162	-2.1453	-0.16022	-0.47086	-0.36278
HALLMARK_IL6_JAK_STAT3_SIGNALING	-5.03028	-4.09468	-7.70465	-7.57256	-3.08334	-4.3498	-4.56402	-4.20918
HALLMARK_PROTEIN_SECRETION	-0.67718	-0.68391	-0.60621	-0.37301	-0.53526	-1.13435	-0.38574	-0.44881
HALLMARK_APOPTOSIS	-24.09876	-15.13724	-21.29104	-17.79342	-3.43868	-25.30868	-15.85374	-19.10422
HALLMARK_ANDROGEN_RESPONSE	-0.71388	-1.13954	-0.79763	-0.73848	-0.88557	-0.61764	-0.81824	-0.79306
HALLMARK_KRAS_SIGNALING	-0.16437	-0.11576	-0.26463	-0.02754	-0.46914	-0.17257	-0.01569	-0.02855
HALLMARK_COMPLEMENT	-18.29464	-15.06176	-23.15876	-15.59515	-7.62627	-20.73242	-14.74902	-16.15713
HALLMARK_APICAL_JUNCTION	-1.43845	-1.25496	-2.6626	-1.20716	-0.15953	-3.27894	-1.36104	-1.12071
HALLMARK_ESTROGEN_RESPONSE_EARLY	-8.66715	-5.38965	-4.7399	-5.10255	-1.64963	-8.48821	-7.71408	-7.48189
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.13534	-0.11803	-0.07988	-0.07789	-0.01199	-0.1168	-0.06938	-0.11161
HALLMARK_G2M_CHECKPOINT	-0.08006	-0.17424	-0.88498	-0.45733	-0.60646	-0.15087	-0.51051	-0.48954
HALLMARK_APICAL_SURFACE	-0.17274	-0.11741	-0.1459	-0.15058	-0.11355	-0.08642	-0.15794	-0.10053
HALLMARK_XENOBIOTIC_METABOLISM	-13.54683	-8.44057	-19.13072	-8.6708	-2.99756	-16.89228	-10.23164	-13.06922
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.03497	-0.05074	-0.07862	-0.08709	-0.02018	-0.03043	-0.02286	-0.02681
HALLMARK_GLYCOLYSIS	-0.35583	-0.52484	-1.12914	-0.67308	-0.02578	-0.49355	-0.19437	-0.23738
HALLMARK_UV_RESPONSE	-0.15399	-0.06061	-0.11481	-0.39218	-0.58807	-0.15358	-0.04878	-0.0757
HALLMARK_COAGULATION	-28.88114	-20.26016	-40.78382	-35.54269	-7.89733	-32.48487	-26.31766	-29.2481
HALLMARK_HEDGEHOG_SIGNALING	-0.21479	-0.42549	-0.13756	-0.76105	-0.31294	-0.08463	-0.29543	-0.52255
Zero_Proportion	-219.40405	-306.19524	-160.04341	-68.79139	-52.95873	-179.72072	-204.29424	-226.25604
FP_Quality	-101.25696	-121.16385	-127.11985	-70.17889	-16.03733	-89.34489	-84.57939	-89.80253
