	ICA	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	RBF Kernel PCA	Spectral Embedding	tSNE10	tSNE30
HALLMARK_PANCREAS_BETA_CELLS	0.77016	0.75373	0.76637	0.78882	0.7743	0.76406	0.77229	0.77163	0.75528	0.76546
HALLMARK_TGF_BETA_SIGNALING	0.8207	0.78949	0.79852	0.8555	0.84814	0.79149	0.81598	0.81942	0.8128	0.82343
HALLMARK_ADIPOGENESIS	0.88057	0.81716	0.83743	0.90981	0.90813	0.82457	0.87815	0.86119	0.82374	0.83076
HALLMARK_BILE_ACID_METABOLISM	0.84113	0.82797	0.81533	0.87671	0.88229	0.82468	0.83619	0.86142	0.82536	0.84809
HALLMARK_MITOTIC_SPINDLE	0.79763	0.78726	0.78253	0.84669	0.85727	0.81893	0.79588	0.80191	0.79374	0.8046
HALLMARK_INFLAMMATORY_RESPONSE	0.86571	0.84526	0.83377	0.89397	0.88629	0.80568	0.8647	0.86989	0.851	0.87648
HALLMARK_ESTROGEN_RESPONSE_LATE	0.87386	0.84557	0.83761	0.90547	0.91241	0.83343	0.86934	0.87362	0.84576	0.86496
HALLMARK_IL2_STAT5_SIGNALING	0.84404	0.82266	0.80356	0.88267	0.88729	0.80751	0.83821	0.84558	0.82383	0.83732
HALLMARK_P53_PATHWAY	0.83634	0.80493	0.81164	0.88515	0.88584	0.81201	0.83912	0.83473	0.81678	0.83302
HALLMARK_HEME_METABOLISM	0.84136	0.82094	0.80456	0.89079	0.89637	0.81524	0.83677	0.86	0.83244	0.85067
HALLMARK_NOTCH_SIGNALING	0.76614	0.76254	0.76516	0.7755	0.76939	0.75367	0.77771	0.76639	0.75934	0.76854
HALLMARK_ALLOGRAFT_REJECTION	0.84602	0.78832	0.83521	0.87366	0.86366	0.78274	0.84573	0.83131	0.81701	0.8267
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.84488	0.81667	0.83307	0.86914	0.86405	0.7796	0.84351	0.8406	0.82915	0.84618
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.84823	0.81397	0.82046	0.84865	0.8554	0.78881	0.84542	0.83501	0.84416	0.84606
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.89277	0.86985	0.84127	0.89844	0.87439	0.82027	0.88995	0.86643	0.8675	0.88243
HALLMARK_PEROXISOME	0.86474	0.82337	0.82902	0.89826	0.89812	0.82303	0.86388	0.86375	0.82386	0.83833
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.836	0.80197	0.81496	0.85986	0.85961	0.78883	0.83607	0.82861	0.82225	0.83906
HALLMARK_MYOGENESIS	0.87649	0.86116	0.82598	0.89225	0.886	0.81346	0.86592	0.87158	0.85717	0.88293
HALLMARK_MTORC1_SIGNALING	0.84685	0.81542	0.83226	0.89304	0.89332	0.82855	0.84942	0.8474	0.81989	0.82891
HALLMARK_FATTY_ACID_METABOLISM	0.8902	0.82744	0.84862	0.92236	0.92214	0.84014	0.88689	0.8746	0.83508	0.84951
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.82123	0.77984	0.81406	0.85621	0.86525	0.82281	0.82411	0.80779	0.78935	0.79122
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.84461	0.81764	0.81007	0.86718	0.86777	0.80445	0.84674	0.84183	0.80356	0.82664
HALLMARK_ANGIOGENESIS	0.7813	0.77851	0.77092	0.78342	0.79433	0.7778	0.78326	0.77576	0.78228	0.79098
HALLMARK_MYC_TARGETS_V1	0.83466	0.76516	0.80963	0.85713	0.82457	0.84062	0.83875	0.81984	0.78191	0.79307
HALLMARK_MYC_TARGETS_V2	0.80777	0.77226	0.78325	0.83664	0.82303	0.81198	0.80967	0.79699	0.77269	0.78567
HALLMARK_HYPOXIA	0.84776	0.83263	0.80021	0.85845	0.83765	0.80569	0.84568	0.83787	0.82784	0.83954
HALLMARK_SPERMATOGENESIS	0.78261	0.77426	0.77599	0.80968	0.81529	0.7964	0.78952	0.78276	0.76598	0.77235
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.88638	0.78086	0.84712	0.91414	0.86033	0.85016	0.88785	0.84442	0.81294	0.82067
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.87591	0.8444	0.84518	0.89221	0.89932	0.80753	0.87167	0.8607	0.86097	0.87696
HALLMARK_DNA_REPAIR	0.84077	0.77486	0.82788	0.88595	0.87192	0.81553	0.84884	0.82447	0.79847	0.81399
HALLMARK_E2F_TARGETS	0.80659	0.77654	0.79626	0.84012	0.84782	0.81772	0.81188	0.80749	0.77564	0.78551
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.83503	0.81522	0.82154	0.86868	0.86183	0.79147	0.83419	0.83706	0.82198	0.8455
HALLMARK_PROTEIN_SECRETION	0.83844	0.81216	0.82814	0.89605	0.90444	0.8305	0.84364	0.85753	0.82084	0.83529
HALLMARK_APOPTOSIS	0.87738	0.85044	0.82745	0.91447	0.90801	0.82678	0.87379	0.88077	0.84673	0.86973
HALLMARK_ANDROGEN_RESPONSE	0.841	0.81639	0.80818	0.87605	0.87347	0.80667	0.8342	0.84898	0.81517	0.82892
HALLMARK_KRAS_SIGNALING	0.7823	0.77806	0.77815	0.79698	0.80123	0.77954	0.78349	0.77488	0.79123	0.78687
HALLMARK_COMPLEMENT	0.88078	0.85719	0.84668	0.92138	0.91636	0.82946	0.87821	0.87859	0.86033	0.87456
HALLMARK_APICAL_JUNCTION	0.83153	0.79843	0.81157	0.86766	0.87939	0.81416	0.82861	0.83066	0.81497	0.82909
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.86064	0.84599	0.81355	0.88966	0.88629	0.81298	0.85224	0.86449	0.83813	0.85838
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.83072	0.78595	0.80891	0.86801	0.8754	0.80346	0.82789	0.82981	0.80447	0.80728
HALLMARK_G2M_CHECKPOINT	0.80368	0.77303	0.78292	0.83621	0.84785	0.83085	0.80203	0.79279	0.78793	0.78936
HALLMARK_APICAL_SURFACE	0.79329	0.77307	0.77765	0.80023	0.80483	0.75883	0.79225	0.79295	0.78034	0.78705
HALLMARK_XENOBIOTIC_METABOLISM	0.86832	0.82667	0.84407	0.91257	0.91237	0.82548	0.87361	0.86791	0.82701	0.84739
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.77961	0.74751	0.77295	0.79372	0.79312	0.7739	0.7853	0.77893	0.76118	0.77745
