	ICA	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	RBF Kernel PCA	Spectral Embedding	tSNE10	tSNE30
HALLMARK_PANCREAS_BETA_CELLS	-0.01021	0	-0.04888	-0.05468	0	0	-0.02286	-0.0162	0	0
HALLMARK_TGF_BETA_SIGNALING	-0.88594	-0.45837	-0.68699	-1.19411	-0.80165	-0.27011	-0.68138	-0.80193	-1.50066	-1.51936
HALLMARK_ADIPOGENESIS	-4.97292	-1.29835	-2.38614	-2.39039	-1.60693	-0.26037	-4.85229	-2.25443	-1.61072	-1.11451
HALLMARK_BILE_ACID_METABOLISM	-1.23125	-2.49684	-0.94606	-1.02093	-1.02576	-1.00047	-0.96369	-2.57476	-1.97899	-3.03314
HALLMARK_MITOTIC_SPINDLE	0	0	0	0	0	-0.07623	0	0	0	-0.00119
HALLMARK_INFLAMMATORY_RESPONSE	-3.06854	-4.68734	-2.39912	-1.98494	-1.23219	-0.12648	-2.94675	-3.36304	-5.38989	-7.32072
HALLMARK_ESTROGEN_RESPONSE_LATE	-3.89417	-4.73094	-2.84098	-2.8648	-3.17281	-1.68903	-3.36777	-3.77872	-4.54785	-5.25811
HALLMARK_IL2_STAT5_SIGNALING	-1.39475	-1.98221	-0.37434	-1.30486	-1.28612	-0.1773	-1.06519	-1.39595	-1.83619	-1.96099
HALLMARK_P53_PATHWAY	-0.60398	-0.48663	-0.3724	-0.64741	-0.2992	0	-0.79129	-0.41881	-0.97906	-1.28892
HALLMARK_HEME_METABOLISM	-0.86928	-1.63316	-0.12569	-0.94489	-0.7833	-0.0128	-0.66279	-2.1406	-2.6919	-3.29596
HALLMARK_NOTCH_SIGNALING	0	-0.01021	-0.03134	0	0	0	-0.07604	0	0	-0.00463
HALLMARK_ALLOGRAFT_REJECTION	-1.51536	-0.12556	-2.56347	-0.88498	-0.31452	0	-1.47747	-0.66963	-1.26307	-1.16237
HALLMARK_INTERFERON_GAMMA_RESPONSE	-1.08029	-1.25979	-1.91312	-0.10618	0	0	-1.06345	-0.68866	-2.24153	-2.69134
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-2.37553	-1.78683	-2.08417	-0.92998	-1.07364	-0.18986	-2.12894	-1.51529	-4.67144	-3.33262
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-6.36205	-9.16187	-3.25262	-2.29116	-0.66863	-0.71569	-5.8475	-3.04114	-8.7132	-8.48782
HALLMARK_PEROXISOME	-2.99053	-2.04986	-1.96044	-2.2795	-1.97977	-0.89039	-2.86777	-2.80142	-1.83651	-2.04138
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.96154	-0.60422	-0.92541	-0.39371	-0.21539	0	-0.95848	-0.56964	-1.688	-2.10655
HALLMARK_MYOGENESIS	-4.19587	-7.48058	-1.69159	-1.88275	-1.22128	-0.38348	-3.05054	-3.54892	-6.59223	-8.53512
HALLMARK_MTORC1_SIGNALING	-1.21518	-1.16537	-1.8339	-1.07708	-0.62302	-0.43654	-1.47894	-1.10626	-1.23822	-0.97365
HALLMARK_FATTY_ACID_METABOLISM	-6.70792	-2.32987	-3.9269	-3.8162	-3.06545	-1.23368	-6.40389	-3.88817	-3.06422	-3.13339
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.37718	-0.00478	-0.87301	-0.29809	-0.3623	-0.88133	-0.46668	-0.04862	-0.04871	0
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-1.4294	-1.56009	-0.6554	-0.63418	-0.43534	-0.09549	-1.54114	-1.18554	-0.47326	-1.15998
HALLMARK_ANGIOGENESIS	-0.00324	-0.14908	0	0	0	-0.00356	-0.01188	0	-0.15185	-0.19113
HALLMARK_MYC_TARGETS_V1	-0.27192	0	-0.09186	0	0	-0.50654	-0.57105	0	0	0
HALLMARK_MYC_TARGETS_V2	-0.07747	0	0	-0.00407	0	-0.32696	-0.10334	0	0	0
HALLMARK_HYPOXIA	-1.27068	-3.01464	-0.03753	0	0	0	-1.20995	-0.56424	-2.07867	-1.91524
HALLMARK_SPERMATOGENESIS	-0.00998	-0.07309	-0.04627	-0.05323	-0.07183	-0.4439	-0.07246	-0.00422	0	0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-8.0145	0	-4.12575	-2.24158	0	-1.3388	-8.73158	-0.63885	-0.51361	-0.25024
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-4.28417	-4.85579	-3.39347	-1.02498	-0.96292	0	-3.89401	-2.21655	-8.63763	-8.55311
HALLMARK_DNA_REPAIR	-0.83188	0	-1.41317	-0.68019	-0.00316	-0.01403	-1.43383	-0.09789	-0.06732	-0.19991
HALLMARK_E2F_TARGETS	0	0	0	0	0	-0.05306	0	0	0	0
HALLMARK_IL6_JAK_STAT3_SIGNALING	-1.55195	-1.87999	-2.17617	-1.81082	-1.33682	-0.27077	-1.47186	-1.62643	-2.21589	-3.28555
HALLMARK_PROTEIN_SECRETION	-1.0861	-1.17469	-1.88167	-2.1301	-2.46142	-1.43362	-1.35179	-2.24029	-1.55958	-1.78727
HALLMARK_APOPTOSIS	-4.50705	-6.08687	-1.37545	-2.88677	-1.59726	-0.35243	-4.19772	-4.81715	-5.14544	-6.84912
HALLMARK_ANDROGEN_RESPONSE	-1.22419	-1.46894	-0.56961	-0.98821	-0.64006	-0.1514	-0.8718	-1.60901	-1.13781	-1.29774
HALLMARK_KRAS_SIGNALING	0	0	0	0	0	0	0	0	0	0
HALLMARK_COMPLEMENT	-5.00084	-7.60639	-3.63394	-3.68532	-2.38909	-0.48324	-4.8525	-4.49219	-8.51269	-8.00346
HALLMARK_APICAL_JUNCTION	-0.75206	-0.44245	-0.72521	-0.64515	-0.88787	-0.41639	-0.63265	-0.64588	-1.12317	-1.30787
HALLMARK_ESTROGEN_RESPONSE_EARLY	-2.60947	-4.79462	-0.84302	-1.70546	-1.23378	-0.36722	-1.91744	-2.86797	-3.4125	-4.31173
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.71592	-0.07683	-0.60574	-0.657	-0.70756	-0.0765	-0.6058	-0.61619	-0.51554	-0.26139
HALLMARK_G2M_CHECKPOINT	0	0	0	0	0	-0.56796	0	0	0	0
HALLMARK_APICAL_SURFACE	-0.37128	-0.18271	-0.28766	-0.20696	-0.26472	0	-0.33918	-0.36772	-0.28527	-0.30702
HALLMARK_XENOBIOTIC_METABOLISM	-3.25751	-2.23748	-3.25396	-2.68789	-1.98751	-0.29342	-4.17603	-3.0262	-1.98198	-2.86482
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	-0.01088	0	0	0	-0.02879	0	0	-0.00224
HALLMARK_GLYCOLYSIS	-0.28168	0	-0.1767	-0.01126	0	0	-0.42419	-0.09052	-0.26102	0
HALLMARK_UV_RESPONSE	0	0	0	0	0	0	0	0	0	0
HALLMARK_COAGULATION	-8.98402	-9.92944	-5.05408	-3.67656	-3.31057	-0.68676	-8.2318	-6.89342	-11.71389	-11.54902
HALLMARK_HEDGEHOG_SIGNALING	0	0	0	0	0	0	0	0	0	0
Zero_Proportion	-110.09518	-44.89206	-56.80147	-300	-300	-116.3634	-117.39795	-159.71049	-59.05339	-84.61882
