	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	Spectral Embedding	tSNE10	tSNE30
HALLMARK_PANCREAS_BETA_CELLS	0.7805	0.77695	0.78882	0.7743	0.76406	0.77253	0.7746	0.77742
HALLMARK_TGF_BETA_SIGNALING	0.84468	0.84006	0.8555	0.84814	0.79149	0.82752	0.83293	0.82933
HALLMARK_ADIPOGENESIS	0.90561	0.90289	0.90981	0.90813	0.82457	0.8862	0.87551	0.88985
HALLMARK_BILE_ACID_METABOLISM	0.87735	0.8851	0.87671	0.88229	0.82468	0.87281	0.84735	0.87186
HALLMARK_MITOTIC_SPINDLE	0.85083	0.85432	0.84669	0.85727	0.81893	0.83745	0.83323	0.8439
HALLMARK_INFLAMMATORY_RESPONSE	0.87803	0.8841	0.89397	0.88629	0.80568	0.88065	0.85096	0.87534
HALLMARK_ESTROGEN_RESPONSE_LATE	0.89425	0.89484	0.90547	0.91241	0.83343	0.89557	0.86267	0.88776
HALLMARK_IL2_STAT5_SIGNALING	0.87251	0.88025	0.88267	0.88729	0.80751	0.86586	0.84637	0.86793
HALLMARK_P53_PATHWAY	0.87364	0.86873	0.88515	0.88584	0.81201	0.85801	0.85849	0.8735
HALLMARK_HEME_METABOLISM	0.89354	0.89654	0.89079	0.89637	0.81524	0.8732	0.86118	0.8813
HALLMARK_NOTCH_SIGNALING	0.77099	0.77353	0.7755	0.76939	0.75367	0.76858	0.77396	0.77128
HALLMARK_ALLOGRAFT_REJECTION	0.86399	0.86112	0.87366	0.86366	0.78274	0.84216	0.84934	0.86516
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.85069	0.85433	0.86914	0.86405	0.7796	0.85269	0.84936	0.85938
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.84313	0.84859	0.84865	0.8554	0.78881	0.83791	0.82744	0.84391
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.85891	0.86036	0.89844	0.87439	0.82027	0.86644	0.844	0.87426
HALLMARK_PEROXISOME	0.88606	0.88877	0.89826	0.89812	0.82303	0.88088	0.86065	0.87547
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.85406	0.84658	0.85986	0.85961	0.78883	0.84083	0.84549	0.85365
HALLMARK_MYOGENESIS	0.87119	0.8867	0.89225	0.886	0.81346	0.87029	0.85479	0.87728
HALLMARK_MTORC1_SIGNALING	0.88508	0.89079	0.89304	0.89332	0.82855	0.87299	0.87693	0.88577
HALLMARK_FATTY_ACID_METABOLISM	0.90791	0.90588	0.92236	0.92214	0.84014	0.89882	0.87139	0.89221
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.85572	0.85017	0.85621	0.86525	0.82281	0.84169	0.85303	0.85327
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.86255	0.85759	0.86718	0.86777	0.80445	0.85155	0.84088	0.85662
HALLMARK_ANGIOGENESIS	0.77365	0.77912	0.78342	0.79433	0.7778	0.77556	0.77749	0.78111
HALLMARK_MYC_TARGETS_V1	0.84582	0.85716	0.85713	0.82457	0.84062	0.81984	0.84442	0.85117
HALLMARK_MYC_TARGETS_V2	0.82434	0.82926	0.83664	0.82303	0.81198	0.80469	0.82453	0.83355
HALLMARK_HYPOXIA	0.83521	0.83103	0.85845	0.83765	0.80569	0.83923	0.82321	0.84182
HALLMARK_SPERMATOGENESIS	0.81559	0.81468	0.80968	0.81529	0.7964	0.79866	0.80439	0.81852
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.87848	0.88856	0.91414	0.86033	0.85016	0.86988	0.87147	0.88641
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.87759	0.87512	0.89221	0.89932	0.80753	0.87867	0.86245	0.87354
HALLMARK_DNA_REPAIR	0.87599	0.88395	0.88595	0.87192	0.81553	0.85404	0.8788	0.87923
HALLMARK_E2F_TARGETS	0.84874	0.8482	0.84012	0.84782	0.81772	0.81938	0.83495	0.8439
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.84375	0.85439	0.86868	0.86183	0.79147	0.84965	0.82534	0.85825
HALLMARK_PROTEIN_SECRETION	0.89813	0.89426	0.89605	0.90444	0.8305	0.88115	0.86814	0.88613
HALLMARK_APOPTOSIS	0.89759	0.90258	0.91447	0.90801	0.82678	0.89321	0.86131	0.89089
HALLMARK_ANDROGEN_RESPONSE	0.8654	0.86432	0.87605	0.87347	0.80667	0.85521	0.84259	0.85461
HALLMARK_KRAS_SIGNALING	0.801	0.79663	0.79698	0.80123	0.77954	0.78786	0.79694	0.80064
HALLMARK_COMPLEMENT	0.89901	0.89639	0.92138	0.91636	0.82946	0.89729	0.87901	0.89567
HALLMARK_APICAL_JUNCTION	0.86924	0.86588	0.86766	0.87939	0.81416	0.85953	0.84259	0.85914
