	PC 1	PC 2	PC 3
A2M	0.087	-0.01849	-0.02094
AAAS	-0.00039	0.00583	-0.00917
AAK1	-0.00865	-0.01274	-0.01103
AAMP	0.0023	-0.00783	-0.00418
AARS	0.00988	0.00298	-0.02089
AARSD1	-0.00703	-0.0032	-0.00027
AASDH	-0.00631	-0.01322	-0.0004
AASDHPPT	0.00272	0.0343	0.00922
AASS	0.00551	0.00682	-0.00541
AATF	0.01217	0.00831	0.00845
ABAT	-0.01664	-0.01297	0.03456
ABCA1	0.01281	-0.03056	-0.02376
ABCA8	-0.00601	0.01762	-0.02487
ABCB6	0.00186	-0.00892	-0.0131
ABCC3	-0.00528	-0.00042	-0.02473
ABCC5	0.00768	-0.01293	-0.00483
ABCC9	-0.01756	-0.02806	-0.01345
ABCD2	0.00713	0.0174	0.00745
ABCD3	-0.00077	0.01276	-0.00021
ABCD4	0.01151	-0.00447	0.0102
ABCE1	-0.00017	0.00507	-0.0218
ABCF2	0.00501	0.01696	0.00296
ABCF3	0.01449	0.00493	-0.00451
ABHD2	-0.01836	0.02223	0.00498
ABHD4	0.05085	0.01054	0.00993
ABHD5	0.01437	0.00052	-0.00322
ABI1	0.02194	-0.00423	0.00993
ABI2	-0.00751	0.01754	-0.00942
ABL2	-0.00832	-0.01512	-0.00688
ABLIM1	-0.01483	-0.00141	0.00911
ABR	0.00535	-0.00609	0.00386
ABT1	0.00473	0.01697	-0.01102
ACAA2	0.01329	0.02196	0.00476
ACACA	-0.00549	0.00155	-0.0069
ACAD8	0.0061	0.02683	0.00176
ACAD9	0.0151	0.01618	0.00465
ACAD10	0.00538	-0.00043	-0.01157
ACAD11	0.00655	-0.02461	-0.0126
ACADM	-0.00005	-0.00812	0.00433
ACADSB	0.00876	-0.00965	-0.004
ACAP2	-0.00942	-0.0087	-0.00272
ACAT1	0.01819	0.00684	0.01032
ACAT2	0.00614	0.0167	0.00049
ACBD5	0.01944	-0.00496	0.00566
ACBD6	-0.00353	0.00672	0.00333
ACER3	0.00513	0.01808	0.00135
ACIN1	-0.01352	-0.00996	-0.00468
ACLY	0.00176	0.00969	-0.00259
ACN9	-0.01237	0.0048	0.00726
ACO1	0.02284	0.00639	0.02099
ACO2	0.02398	-0.00233	-0.00263
ACOT7	-0.01524	0.02993	-0.00129
ACOT8	0.01999	-0.01069	0.00314
ACOT9	0.02197	0.00714	-0.00368
ACOT13	0.00039	-0.02679	0.00526
ACOX1	0.00842	0.00949	-0.00851
ACOX2	0.0189	0.02216	-0.01458
ACOX3	0.01873	0.00033	0.0007
ACP1	-0.00326	0.00054	0.00068
ACP2	0.02131	0.02116	0.00065
ACP6	0.01633	0.00252	-0.02494
ACPL2	0.02336	0.02255	-0.00611
ACSBG1	-0.00523	0.01406	0.02121
ACSL3	-0.02933	-0.00185	0.01681
ACSL4	0.01238	0.01411	-0.00362
ACSL6	-0.01995	-0.021	-0.00149
ACSS3	-0.00096	0.02879	-0.02572
ACTB	0.00331	0.00691	-0.00156
ACTG1	0.01068	0.00113	-0.0017
ACTG1P4	-0.00392	-0.02503	-0.03413
ACTL6A	0.00825	0.01437	0.00244
ACTN1	0.03577	-0.02932	-0.00158
ACTR1A	0.01984	0.01554	0.01908
ACTR2	0.00641	-0.0016	0.00251
ACTR8	0.01523	0.01389	0.00298
ACTR10	0.00146	0.00493	-0.00402
ACVR2A	-0.003	0.01137	-0.01208
ACY1	0.0231	0.01055	-0.007
ADAL	-0.00316	-0.00482	-0.00518
ADAM9	0.0266	0.0302	-0.01753
ADAM10	0.00816	0.02538	-0.02929
ADAM17	0.00284	-0.00175	0.00048
ADAM19	-0.02135	0.02121	0.001
ADAM22	-0.02088	-0.01863	-0.00863
ADAMTS9	-0.01883	0.02976	-0.02147
ADAMTSL3	-0.01838	-0.02474	-0.01467
ADAR	0.00312	-0.00434	-0.01036
ADAT1	0.00394	0.008	0.00169
ADCK3	-0.00082	-0.00496	-0.01552
ADCY2	0.00626	-0.01285	0.00763
ADCYAP1R1	-0.0114	0.0124	0.01253
ADD1	0.0011	0.00219	0.00288
ADD3	0.02303	-0.02913	0.02746
ADH5	0.00514	0.00991	0.01308
ADI1	-0.01027	-0.00701	-0.00613
ADK	0.01468	-0.00385	0.01863
ADM	0.0138	-0.02613	-0.04503
ADNP	-0.01335	-0.00848	0.01
ADRM1	0.00119	0.0067	0.02089
ADSL	0.00627	0.00103	-0.0001
AEBP2	0.01076	-0.0131	-0.01202
AEN	-0.0049	0.00811	-0.0115
AFF1	0.00001	-0.01095	-0.01206
AFF4	-0.00529	-0.01116	-0.01148
AFTPH	-0.00063	-0.01246	-0.01583
AGA	0.02713	0.00034	-0.00149
AGBL5	0.00734	0.00627	0.00449
AGFG1	-0.00137	-0.00913	-0.00746
AGK	-0.0029	0.01516	0.0018
AGL	0.01143	0.00115	0.00903
AGMO	-0.00789	0.01041	-0.00712
AGPAT4	0.00931	-0.00308	-0.01305
AGPAT5	0.02132	0.00818	-0.019
AGPAT6	0.00714	0.01154	0.00098
AGT	0.01862	0.03258	-0.0397
AGTRAP	0.03819	-0.0072	0.0084
AHCTF1	-0.01681	-0.00788	-0.01314
AHCY	0.01646	0.02161	0.01269
AHCYL1	0.0388	-0.04089	0.02736
AHCYL2	0.02672	-0.01903	0.03331
AHI1	-0.006	-0.00268	-0.00471
AHSA1	-0.0013	-0.01032	0.00007
AIF1L	0.01163	0.02099	0.05408
AIFM1	-0.01272	0.00173	0.0034
AIG1	0.00144	-0.00003	0.01394
AIMP1	-0.01231	-0.00396	-0.00449
AIMP2	0.00215	0.01875	0.01193
AIP	0.01067	0.01699	0.00559
AK1	-0.01551	-0.00837	0.00471
AK2	0.0021	0.00636	-0.00283
AK3	-0.01612	-0.0198	0.00289
AK4	-0.01671	0.00592	0.00215
AKAP2	-0.01901	-0.01263	-0.01919
AKAP6	-0.01693	-0.01558	-0.02773
AKAP7	-0.02189	0.0011	0.01969
AKAP8	-0.01682	-0.02345	-0.01133
AKAP8L	0.00547	-0.00591	0.00717
AKAP9	-0.00262	-0.0105	-0.00862
AKAP11	-0.00214	0.0015	0.00617
AKAP12	-0.00945	-0.00727	-0.07229
AKAP13	-0.00993	0.01064	-0.00645
AKIP1	0.01371	-0.00745	-0.00338
AKIRIN1	-0.00884	-0.00344	-0.00657
AKNA	-0.02307	-0.01519	-0.01035
AKR1A1	0.00227	-0.00357	0.00288
AKR1B1	0.00146	0.00713	0.0039
AKTIP	0.02041	-0.00953	0.01294
ALAD	0.01622	-0.01177	-0.01541
ALAS1	0.0115	0.03979	0.00454
ALDH1B1	-0.00788	0.00632	0.01288
ALDH1L1	0.00305	-0.01488	0.04052
ALDH3A2	0.00449	-0.01847	-0.00136
ALDH5A1	-0.00579	-0.01684	0.00661
ALDH6A1	0.0277	-0.00066	-0.00109
ALDH7A1	0.00145	0.00189	0.03177
ALDH9A1	0.01696	0.00435	0.01264
ALDH18A1	0.00907	0.02337	0.00443
ALDOA	0.0076	0.00264	-0.01249
ALDOC	0.01547	0.00099	0.01801
ALG1	-0.00567	0.02039	-0.01369
ALG3	0.00494	0.03248	-0.00143
ALG5	-0.01866	0.02798	-0.01383
ALG6	0.00653	0.00123	0.00414
ALG8	0.01199	0.01543	0.00076
ALG9	-0.0052	0.01257	0.00264
ALG11	-0.00835	0.00921	0.00618
ALG13	0.00477	-0.00146	-0.00036
ALG14	0.00874	0.01042	0.00056
ALKBH1	0.00002	0.01788	0.00414
ALKBH2	0.00602	0.00297	0.00594
ALKBH3	0.01716	0.00256	0.00292
ALMS1	-0.02285	-0.01699	-0.00372
ALPK1	0.01068	-0.03321	-0.01896
ALS2	0.00046	0.00314	-0.00529
AMD1	0.00124	-0.01291	-0.02115
AMN1	0.00858	-0.00827	-0.02636
AMPD2	0.00976	-0.00122	-0.00802
AMT	0.00106	0.01994	-0.01261
AMZ2	0.00745	0.01046	-0.00028
AMZ2P1	-0.00779	-0.00575	0.01452
ANAPC4	0.01311	0.01194	-0.00317
ANAPC5	-0.0037	0.01056	0.00861
ANAPC7	-0.00899	0.01937	0.00388
ANAPC11	-0.00366	0.00686	0.01153
ANAPC13	-0.00046	0.00122	0.00254
ANAPC16	-0.00094	-0.00158	-0.01534
ANGEL1	0.01049	0.01024	0.00159
ANGEL2	-0.01156	0.00365	0.00441
ANGPT2	-0.01587	-0.0177	-0.02771
ANK2	0.01388	-0.00124	0.00645
ANKFY1	0.01357	0.00974	-0.00745
ANKHD1-EIF4EBP3	-0.0142	-0.00285	-0.0128
ANKIB1	0.00012	-0.01722	-0.00029
ANKMY2	0.00927	-0.00042	0.00688
ANKRA2	0.0025	-0.00325	-0.02828
ANKRD10	-0.00482	0.00509	-0.00055
ANKRD11	-0.01206	-0.01568	-0.00548
ANKRD12	0.00063	-0.01112	-0.0188
ANKRD13C	-0.0011	0.00413	-0.01485
ANKRD17	0.00127	0.00791	0.00054
ANKRD19P	-0.00478	-0.01492	-0.00053
ANKRD27	0.00954	-0.00621	-0.00666
ANKRD28	-0.01719	-0.02901	-0.01904
ANKRD36	0.00069	-0.01571	-0.00268
ANKRD36B	0.00056	-0.00527	-0.0091
ANKRD36C	-0.00135	-0.00446	-0.00495
ANKRD39	0.00391	-0.00091	-0.00331
ANKRD40	0.0077	-0.01212	0.00015
ANKRD42	0.00081	-0.01568	-0.01319
ANKRD44	-0.0254	-0.02497	-0.01586
ANKRD50	-0.00213	-0.00645	-0.00085
ANKZF1	-0.00324	-0.01549	-0.01896
ANLN	-0.01977	0.02247	0.00084
ANO6	0.0135	-0.01778	-0.00798
ANO10	0.01507	0.00159	-0.00129
ANP32E	-0.00405	0.00598	-0.00587
ANTXR1	-0.00759	-0.02387	0.00448
ANXA1	0.06231	-0.0363	-0.00142
ANXA2	0.03959	0.02227	-0.04684
ANXA4	0.02285	-0.00927	0.00121
ANXA5	0.01238	0.00792	-0.00364
ANXA6	0.00434	-0.00704	0.02094
ANXA7	0.01523	0.01065	-0.00869
AP1G1	-0.00108	0.02131	-0.00194
AP1G2	0.00126	0.00647	0.00101
AP1M1	0.01089	0.01705	-0.00523
AP1S2	-0.01548	-0.00126	0.00851
AP2B1	0.00588	0.00422	0.00423
AP2M1	0.00634	0.01506	0.00226
AP2S1	-0.0061	-0.01101	0.01988
AP3M1	-0.00334	0.00545	0.01487
AP3M2	0.01306	-0.00262	0.00068
AP3S1	-0.01104	-0.00623	0.00437
AP3S2	-0.00395	0.00767	-0.00345
AP4B1	-0.00598	0.00159	-0.01566
AP4M1	0.00441	-0.00539	0.01003
AP5M1	0.00909	0.02105	0.00801
AP5S1	0.01676	-0.00726	0.00442
APBB1	0.00068	-0.00541	-0.00009
APBB2	-0.02773	0.0006	0.02441
APBB3	0.00648	-0.00505	-0.01325
APC	0.00946	-0.0061	0.01422
APEH	0.01698	0.0238	0.00959
APEX1	0.00115	0.00689	0.01247
APH1A	0.00828	0.006	0.00234
APH1B	0.00104	0.01107	-0.00408
API5	-0.00018	0.01287	-0.00811
APIP	0.00324	-0.00073	0.00087
APLP2	0.00225	0.01383	-0.0145
APOA1BP	-0.00596	-0.00647	0.01359
APOBEC3C	0.02591	0.01903	-0.03303
APOD	-0.03523	-0.0313	0.02012
APOL2	0.01008	-0.02676	-0.01582
APOL4	-0.00358	-0.02167	0.00699
APOL6	-0.00407	-0.00848	-0.01808
APOO	0.00735	0.00373	0.01512
APOOL	0.00896	-0.01451	-0.01165
APP	-0.00302	-0.00198	-0.0088
APPBP2	-0.01038	-0.00301	-0.00521
APPL1	-0.01238	-0.00555	-0.0012
APPL2	0.01034	-0.00448	-0.00524
APRT	0.01266	-0.00803	0.00958
AQP1	0.0114	-0.0198	-0.00065
AQP4	0.05725	-0.03053	0.07428
AQR	-0.0047	0.01433	-0.00819
ARAP2	-0.01292	-0.01525	0.00574
ARCN1	0.00719	0.01713	-0.00916
ARF1	-0.00725	0.00213	-0.00002
ARF3	0.00132	-0.00782	0.00999
ARF4	-0.00098	0.00627	-0.00104
ARF5	-0.01235	0.00335	-0.00392
ARF6	-0.00013	0.00637	0.00504
ARFGAP2	0.00403	0.00969	-0.0014
ARFGAP3	-0.00341	-0.00721	-0.00081
ARFGEF1	-0.00939	-0.00015	-0.00177
ARFIP1	0.00713	0.0088	0.00299
ARFIP2	-0.01057	0.00466	-0.00835
ARGLU1	-0.01869	0.00455	-0.0119
ARHGAP5	-0.00769	-0.00467	-0.00712
ARHGAP19	-0.00029	0.01508	-0.00314
ARHGAP21	-0.02092	-0.00674	-0.00254
ARHGAP26	-0.0106	0.01948	-0.01872
ARHGAP32	-0.0099	0.00194	-0.00818
ARHGEF3	0.01737	0.00153	-0.02164
ARHGEF6	0.00676	0.01792	-0.01061
ARHGEF7	-0.02275	0.00111	-0.00042
ARHGEF9	0.00206	-0.00866	0.00318
ARHGEF10	-0.01517	-0.03148	-0.01482
ARHGEF26	-0.01049	-0.0002	0.00217
ARHGEF26-AS1	-0.0137	-0.02337	-0.00844
ARID1A	-0.01239	-0.00946	-0.00058
ARID1B	-0.01866	-0.0237	-0.01258
ARID2	-0.02132	-0.00531	0.00732
ARID4A	-0.00911	-0.01226	0.00967
ARID4B	-0.0089	-0.01048	-0.01211
ARID5B	0.01999	-0.0192	-0.01148
ARIH2	-0.00401	0.01003	-0.00898
ARL1	0.00339	0.00344	-0.01047
ARL2	0.01317	-0.00711	0.00338
ARL2BP	0.00127	-0.00483	0.00939
ARL3	-0.0062	-0.01165	0.01024
ARL4A	-0.03442	0.01077	0.01674
ARL4C	0.00477	-0.01955	-0.02287
ARL6IP1	0.00433	0.01426	0.00015
ARL6IP5	0.00322	0.0048	0.00261
ARL6IP6	0.00086	0.00349	0.00877
ARL8B	0.01079	-0.00456	-0.02185
ARL13B	0.00861	-0.01023	-0.00347
ARL16	-0.00422	0.00028	-0.00041
ARMC1	0.00178	0.01927	0.00041
ARMC6	0.01183	-0.00301	0.0022
ARMC10	-0.01217	-0.01467	-0.00939
ARMCX1	0.00827	-0.01159	-0.00537
ARMCX2	0.01492	0.00207	-0.00435
ARMCX3	0.00082	-0.00177	-0.00289
ARMCX5	-0.00289	0.00349	0.00658
