	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	Spectral Embedding	tSNE10	tSNE30
HALLMARK_PANCREAS_BETA_CELLS	-0.42692	-0.15578	-0.11639	-0.3086	-0.28965	-0.14963	-0.11833	-0.07821
HALLMARK_TGF_BETA_SIGNALING	-0.32508	-1.41869	-0.88128	-1.49542	-0.94282	-1.49603	-1.48405	-1.62795
HALLMARK_ADIPOGENESIS	-0.74133	-3.22082	-5.23627	-3.10776	-0.26315	-3.08032	-2.4405	-3.0031
HALLMARK_BILE_ACID_METABOLISM	-3.78665	-4.99186	-1.74046	-1.93403	-0.90756	-6.62196	-2.66435	-2.27757
HALLMARK_MITOTIC_SPINDLE	-0.38134	-0.82479	-1.2753	-1.07451	-0.65036	-0.77564	-0.59411	-0.56181
HALLMARK_INFLAMMATORY_RESPONSE	-7.87027	-11.18486	-11.60696	-10.69437	-1.52248	-16.39211	-9.4526	-12.06364
HALLMARK_ESTROGEN_RESPONSE_LATE	-13.8868	-12.24432	-15.64097	-12.90606	-6.13826	-22.2447	-13.70186	-13.66895
HALLMARK_IL2_STAT5_SIGNALING	-7.48463	-3.97121	-2.10486	-4.51138	-1.13352	-7.23529	-3.76581	-4.10413
HALLMARK_P53_PATHWAY	-0.60942	-2.46606	-2.70125	-5.0798	-0.60841	-3.76331	-2.65479	-2.90283
HALLMARK_HEME_METABOLISM	-2.82512	-4.64518	-4.82582	-6.15083	-3.62386	-9.22712	-4.67453	-6.91242
HALLMARK_NOTCH_SIGNALING	-0.10216	-0.06689	-0.05675	-0.05381	-0.05281	-0.08005	-0.05949	-0.10057
HALLMARK_ALLOGRAFT_REJECTION	-0.08817	-2.50151	-2.60437	-2.82366	-0.44049	-2.12442	-2.10885	-2.48799
HALLMARK_INTERFERON_GAMMA_RESPONSE	-1.15141	-6.15277	-10.6927	-11.17918	-1.82073	-9.74903	-7.6177	-7.69193
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-1.55317	-9.70638	-11.65448	-6.9262	-4.21287	-6.60725	-9.79252	-10.19293
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-11.73346	-19.46614	-22.36084	-28.36256	-16.90806	-16.65954	-18.66535	-22.45016
HALLMARK_PEROXISOME	-3.73462	-4.3667	-4.00877	-1.61023	-1.01241	-5.85063	-3.95324	-3.85083
HALLMARK_INTERFERON_ALPHA_RESPONSE	-1.01062	-3.54314	-4.16616	-4.67455	-1.17857	-7.26168	-3.88919	-3.74504
HALLMARK_MYOGENESIS	-4.78519	-8.30966	-13.38004	-9.58104	-8.24023	-11.25257	-11.53486	-9.72392
HALLMARK_MTORC1_SIGNALING	-0.72314	-2.69804	-2.10432	-0.60522	-1.27155	-2.69344	-1.23823	-1.57027
HALLMARK_FATTY_ACID_METABOLISM	-8.40682	-9.44215	-18.32826	-7.60054	-1.80545	-13.15009	-11.01807	-12.43936
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.04397	-0.34158	-0.18147	-0.01125	-0.10753	-0.03075	-0.02497	-0.04117
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-2.70922	-2.78276	-3.7435	-3.06927	-2.01465	-5.03381	-2.05097	-2.42713
HALLMARK_ANGIOGENESIS	-0.50616	-0.18524	-0.11652	-0.90236	-0.8038	-0.72333	-0.56258	-0.16538
HALLMARK_MYC_TARGETS_V1	-2.24887	-1.74113	-4.95141	-0.97576	-5.2486	-2.81614	-1.42461	-2.81818
HALLMARK_MYC_TARGETS_V2	-0.23306	-0.74472	-0.92577	-0.05217	-2.25908	-0.04286	-0.56336	-0.53588
HALLMARK_HYPOXIA	-9.1203	-6.35452	-6.27215	-10.16343	-8.08246	-3.43542	-6.5038	-5.27492
HALLMARK_SPERMATOGENESIS	-0.04302	-0.2852	-0.07793	-0.04061	-0.17191	-0.06138	-0.05551	-0.05294
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-3.26283	-2.69001	-5.25689	-4.5189	-7.65683	-4.14118	-3.93252	-5.90573
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-5.85636	-19.92885	-25.04447	-28.52846	-8.46276	-18.29076	-23.34342	-25.10557
HALLMARK_DNA_REPAIR	-0.118	-0.03753	-0.04459	-0.01342	-0.05103	-0.06123	-0.07976	-0.0518
HALLMARK_E2F_TARGETS	-0.15718	-0.25646	-0.74148	-0.22195	-1.6088	-0.24065	-0.29582	-0.27861
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.87795	-4.17123	-6.19321	-6.07147	-1.87984	-4.9534	-4.39743	-5.19265
HALLMARK_PROTEIN_SECRETION	-0.71661	-0.65915	-0.4664	-0.56381	-1.05391	-1.10337	-0.5637	-0.66263
HALLMARK_APOPTOSIS	-11.02838	-14.58136	-13.36155	-18.76018	-7.05813	-25.34953	-16.88821	-18.79171
HALLMARK_ANDROGEN_RESPONSE	-0.68252	-1.07387	-0.71634	-0.7222	-0.74091	-0.69864	-0.8984	-0.66106
HALLMARK_KRAS_SIGNALING	-0.15707	-0.06149	-0.1011	-0.09029	-0.14292	-0.22215	-0.05571	-0.03942
HALLMARK_COMPLEMENT	-14.58871	-15.51536	-18.15649	-13.86338	-10.78867	-19.43477	-12.24315	-15.53844
HALLMARK_APICAL_JUNCTION	-0.17016	-1.33238	-1.67695	-0.77565	-0.12312	-3.26151	-0.90263	-1.25424
HALLMARK_ESTROGEN_RESPONSE_EARLY	-6.48891	-5.0553	-5.30106	-4.72245	-5.39581	-8.29934	-6.48738	-6.94631
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.0661	-0.05548	-0.04306	-0.04315	-0.02407	-0.10845	-0.08138	-0.10048
HALLMARK_G2M_CHECKPOINT	-0.13095	-0.11645	-0.90083	-0.29715	-0.33656	-0.15571	-0.31915	-0.2197
HALLMARK_APICAL_SURFACE	-0.09172	-0.11606	-0.29384	-0.18406	-0.12008	-0.13848	-0.068	-0.10123
HALLMARK_XENOBIOTIC_METABOLISM	-7.36213	-8.63927	-13.54089	-6.82446	-1.60972	-15.95047	-8.698	-10.69129
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.0365	-0.01965	-0.04613	-0.12707	-0.01408	-0.04528	-0.0158	-0.01297
HALLMARK_GLYCOLYSIS	-0.11594	-0.32685	-0.22022	-0.46301	-0.01656	-0.29722	-0.11243	-0.22358
HALLMARK_UV_RESPONSE	-0.04998	-0.05792	-0.09124	-0.11096	-0.73938	-0.10768	-0.11956	-0.02901
HALLMARK_COAGULATION	-17.95807	-21.82095	-34.06888	-35.27946	-9.78098	-33.92941	-25.23959	-28.34195
HALLMARK_HEDGEHOG_SIGNALING	-0.18207	-0.25709	-0.18339	-0.89085	-0.31963	-0.05973	-0.44068	-0.29863
Zero_Proportion	-101.00334	-285.06338	-115.51289	-58.53442	-46.12763	-176.75554	-218.61243	-206.20914
FP_Quality	-35.41044	-115.03788	-107.78802	-43.31998	-13.26782	-65.75003	-83.55943	-81.05144
