MGH264_A01	MGH264_A02	MGH264_A03	MGH264_A04	MGH264_A05	MGH264_A06	MGH264_A07	MGH264_A08	MGH264_A10	MGH264_A11	MGH264_B01	MGH264_B02	MGH264_B03	MGH264_B04	MGH264_B05	MGH264_B06	MGH264_B10	MGH264_B11	MGH264_C01	MGH264_C03	MGH264_C04	MGH264_C05	MGH264_C08	MGH264_C12	MGH264_D01	MGH264_D02	MGH264_D03	MGH264_D04	MGH264_D05	MGH264_D08	MGH264_D09	MGH264_D10	MGH264_D12	MGH264_E01	MGH264_E03	MGH264_E05	MGH264_E06	MGH264_E08	MGH264_E10	MGH264_E12	MGH264_F01	MGH264_F02	MGH264_F03	MGH264_F04	MGH264_F07	MGH264_F09	MGH264_F10	MGH264_F12	MGH264_G01	MGH264_G02	MGH264_G03	MGH264_G04	MGH264_G06	MGH264_G08	MGH264_G09	MGH264_G10	MGH264_G11	MGH264_G12	MGH264_H01	MGH264_H02	MGH264_H03	MGH264_H04	MGH264_H08	MGH264_H10	MGH264_H12	MGH26_A02	MGH26_A03	MGH26_A05	MGH26_A07	MGH26_A08	MGH26_A09	MGH26_A12	MGH26_B01	MGH26_B02	MGH26_B05	MGH26_B06	MGH26_B10	MGH26_B12	MGH26_C01	MGH26_C03	MGH26_C05	MGH26_C12	MGH26_D01	MGH26_D03	MGH26_D06	MGH26_D07	MGH26_D08	MGH26_D10	MGH26_E02	MGH26_E04	MGH26_E05	MGH26_E06	MGH26_E07	MGH26_E08	MGH26_E10	MGH26_E12	MGH26_F02	MGH26_F05	MGH26_F08	MGH26_F09
A2M	0	0	0	0	0	1.813769837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.567965407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51514724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.334020924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	0	0	0	0	7.632395337	0	0	0	0	8.206143466	1.135902	6.926223816	8.614042812	8.364736482	3.943966347	7.754197226	0	6.520150937	0	0	0	1.513829026	0	9.603643459	0	0	7.306542843	6.839689756	8.183019588	0	5.215994638	8.02708002	0	0	0	0	0	6.895402402	7.972777823	4.082082688	0	7.827690613	0	0	8.952392566	7.597181792	3.1358914	9.179025712	2.146755255	0	0	0	0	7.777643405	7.827326987	0	7.849629478	0	0	8.121687933	0	0	0	0	0	0	2.339798015	0	0	9.672807152	8.084533605	8.128505126	0	0	4.878817012	8.092422854	0	0	0	2.587239844	0	0	0	1.637477768	0	0	0	8.421055566	9.287359745	0	0	0	0	7.077319216	4.758397565	0	0	0	4.122986456	1.769602781
AAK1	0	0.826908447	5.718740644	2.319947252	1.818624305	8.676772102	6.642085262	2.070857339	4.469176248	5.814278858	1.489704419	1.945922512	5.189451866	3.038937823	3.337593219	3.686828293	0	6.520150937	0	4.439958389	2.105314785	0.953908192	0	1.897762479	3.340898832	0.815720795	8.722156198	4.518640808	3.809567567	8.272782158	5.462360211	6.936457059	2.515156397	8.275968525	6.595950672	2.253628893	3.274974593	4.506627748	7.166512587	6.522291094	5.563521878	4.593500344	2.566857186	3.234055912	8.678499126	6.446970605	5.021137446	5.896244497	0	3.579910436	6.970844433	2.339749931	8.295605528	0	1.260518352	8.931590529	3.454669242	6.944995057	4.531720437	2.281706643	7.380130883	6.372093011	6.284824113	5.244420104	6.509349255	5.180208485	3.756162723	2.360864357	3.021448252	5.160812802	1.64636825	3.158596558	0	1.864695585	7.702188425	0	1.1995627	7.477266283	1.161057924	1.015735657	0	2.55080855	5.432185396	0	0	5.010044425	8.423728414	0	8.573714293	2.360494455	7.40441578	1.497435649	9.29915661	1.181840651	3.837291669	2.340689084	1.941614456	8.758540514	0	4.975877788
AAMP	8.471799578	8.179233019	0	9.334512024	0	1.813769838	8.027848934	8.238061195	0	7.960414005	0	8.123242425	9.131397912	2.06717581	7.798396602	8.141183876	0	0	8.34902352	9.285867553	2.920858796	2.715236332	7.994821844	0	8.687406314	0	8.003473098	0	3.102826415	8.035780993	9.573978427	7.955975904	7.154796719	4.25710137	8.548411928	1.135171812	8.454963211	7.601175292	0	9.170050272	0	0	8.344747809	2.371070345	7.733877993	7.53172739	8.011650367	8.181512497	0	4.437997964	7.475670981	0	8.876981594	4.07283916	7.726344382	8.101929203	3.011940749	0	0	0	0	0	0	0	0	0	0	3.190814484	0	0	0.670650541	9.262947332	0	0	2.740792433	0	9.302758568	6.060524958	6.762223534	5.212111967	8.682327337	9.114584976	0	9.379448773	0	0	0	0	0	8.919319659	7.56709367	8.223436329	0	8.229839534	5.950004822	8.533664302	0	10.075523545	5.307279271	0
AARS	8.212539198	0	0	0	8.136520924	2.592443801	0	9.204695205	0	0	0	2.827556714	6.227638891	0	9.33470573	9.299348116	0	0	9.253012635	0	0	8.191503993	8.770070916	9.766040309	0	0	8.458013347	0	3.370550958	6.269486617	7.903164424	0	9.102868815	3.330644641	4.44255132	0	9.783559108	1.880847865	0	6.130501053	10.00646755	10.335970124	0	0	8.892395497	0	0	0	0	0	7.582007113	0	0	8.666085273	7.50032827	9.559423033	0	0	11.764491662	0.966216845	10.028981447	0	8.438488187	7.458760482	9.508934879	3.117924008	0	0	6.850227166	1.723720191	5.911189612	10.27345002	0	0	9.943095986	0	0	7.692101619	10.230456774	7.632075215	3.079137448	2.538913253	0	0	0	0	0	8.425600571	7.262828	0	0	0	0	9.311362764	0	9.581281336	0	9.574959609	6.525943997	9.686288009
AARSD1	1.148348457	3.64307899	3.122213445	0	7.721043426	8.008937974	7.935108001	0	0	7.420264402	6.088805464	8.666136442	6.997202557	0	0	0	4.099854293	0	1.271027412	0	7.310623936	0	8.281600936	0	6.930245989	8.647514739	0	0	0	0	8.669131626	0	0	3.330644641	3.507419705	7.485995349	0	7.266094262	4.762447043	0	2.582159434	0	0	0	5.685014071	7.175470753	8.214448021	3.652245476	0	0	0	0	7.989779455	7.93522225	2.375026688	0	1.468125589	0	0	5.06290587	1.470989583	0	6.809810714	0	2.334020924	2.275212361	0	0	0	0	0	0	8.784363225	8.262871732	7.723298025	6.939936123	8.907703849	0	6.82649036	0	0	8.627693946	0	0	0	4.968742606	0	6.088612426	6.896331476	0	8.984549777	0	4.211413141	0	0	0	7.772024636	6.904599815	0	0
AASDH	7.280846859	6.080251609	0	6.982978455	8.008523774	6.476477389	3.189773554	0	0	5.953419699	6.088805464	0.746428311	0	0	0	0	6.462573847	6.520150938	0	0	0	0	8.644840422	6.323083538	0	0	7.719300163	6.893670958	0	5.191167051	0	7.404757383	0	6.199374178	0	0	0	5.165023028	0	0	0	5.983709344	0	0	3.471108498	3.730055621	0	0	6.438087811	0	5.130806516	0	3.078413017	5.284977683	0	0	6.090253014	0	0	0	4.960049943	0	0	0	2.334020924	0	0	6.345116475	0	0	0	0	0	6.276893776	0	0	4.652728776	0	0	8.838776763	0	0	3.525807366	0	0	0	0	6.784418455	8.149785873	5.077078272	0	0	0	0	8.722454503	0	0	0	0	0
AASDHPPT	8.315297234	1.721877275	0	0	8.373760077	9.477584333	3.189773554	0	9.2432016	0	1.763461848	8.96503067	3.531402706	7.804442102	7.816929192	8.345620897	9.474623256	5.943026401	0	0	7.202109457	1.513829026	0	0	7.534977057	8.082794494	7.966146331	6.783609969	0	0	5.504244524	8.984032861	9.190177304	0	5.72411055	9.194911148	1.161201614	7.678786694	0	6.210297381	0	0	0	8.323070389	0	0	0	0	8.92002912	0	0	0	0	4.321514174	0	0	0	0	0	6.874707274	0	0	3.739257797	0	7.514863157	0	0	0	0	1.723720191	9.886735078	8.843753917	0	10.083378466	9.564190897	1.125871719	9.38460968	0	0	3.461915815	0	0	9.15220187	0	8.198019271	0	0	8.236791114	1.157346419	9.823189709	7.508516933	8.792175042	0	6.682744637	0	0	0	9.389852756	3.903059522	0
AASS	6.301265723	8.743318263	6.55710815	9.479902805	9.054300619	6.83544259	9.123983333	8.464136867	2.646386289	1.633337146	8.96342964	7.585507609	9.532135596	0	9.701773871	9.709331019	0	5.9430264	1.271027411	0	0	8.000870754	7.636527483	4.328006131	4.010762573	9.145513854	2.0966469	9.644103044	8.283769757	8.547306368	7.250285064	7.493513805	6.699156735	6.89224308	6.391911238	6.747975419	0	3.552334963	6.092162916	8.094089921	6.654880497	9.408413253	3.878552124	8.757993846	3.471108497	4.083256912	3.1358914	3.704408916	9.540985508	8.061765137	0	1.595011657	0	6.676700893	7.500328269	0	8.49034663	5.119361526	7.004911317	8.116739541	8.337736934	8.935286663	3.739257796	0	3.183355242	9.20120597	3.189766874	3.190814483	0	9.827073964	3.869001112	0	0	3.071629945	7.939156494	1.750463898	8.525123217	7.239010984	1.161057924	1.001366837	0	0	0	2.384720859	0	6.522658993	6.834488145	0	6.075645351	0	0	7.053009173	0	0	6.930602747	7.823032279	0	2.918393825	1.401837336	2.812293188
AATF	6.185458265	9.428493417	0	0	0	0	0	0	0	0	0	0	0	5.487727778	0	9.197417835	0	4.966287991	0	0	0	9.195898081	0	0	0	0	7.04532999	0	2.503701319	0	0	4.975687245	0	0	0	0	8.622735353	1.880847865	8.153935909	1.219128293	0	3.818837394	0	0	0	0	0	0	0	0	0	0	0	7.55287591	0	0	0	0	0	0	8.800259467	0	7.954723801	0	0	0	9.563369937	9.034661648	0	0	8.766112384	0	0	7.967956077	0	0	0	0	0	0	0	0	7.98544294	0	5.066870478	0	0	0	0	0	0	0	0	0	0	0	0	8.768678282	0	0
ABAT	6.706129915	6.561915358	0	8.315374558	7.447299779	9.477584334	8.753577469	0	7.311331571	9.848319978	8.033796818	7.994991946	0	0	8.954290901	9.394549546	8.188042739	5.943026401	8.480427071	2.350499668	7.931918261	6.565464818	0	0	5.098603807	8.559944848	5.211345381	7.688200013	1.460359735	7.889030282	0	8.353840752	8.444240492	6.517370407	6.846649839	8.36118289	7.003972424	6.395240148	0	0	0	2.917610406	0	9.213350225	7.984332013	5.331375521	0	5.158607593	6.120313383	7.108269819	2.96484144	3.714335372	0	4.07283916	8.63449282	0	0	0	7.073101519	0	7.843000499	4.764041074	8.80013386	3.522945689	0	4.801408151	0	0	0	0	7.697210236	6.023854514	7.071011356	4.683177388	7.972189755	0	4.723858804	9.068619628	0	0	9.350873751	6.371483638	0	9.235286856	0	0	5.274589087	0	0	8.286249933	0	1.488181101	6.151789644	7.827847848	6.225988562	8.19462334	0	6.119272565	4.89441182	8.567223346
ABCA1	0	0	5.913759877	9.63975027	0	0	8.114140743	7.011836729	0	4.316194954	7.496924647	0	9.572723453	1.76255776	1.286318166	7.727848756	5.530151978	7.250815356	9.029342815	0	0	3.806291738	0	3.871029524	7.360135251	1.308053568	4.930466394	8.175990124	0	9.963530243	0	7.945525939	9.485873952	0	0	3.402118769	0	6.030996916	4.948432536	7.764697753	7.879292987	9.262047802	0	2.859944102	0	5.904344318	5.320154659	0	0	2.62501145	2.96484144	0	3.990382671	4.07283916	9.287552341	8.969780922	0	7.608223332	9.502259464	8.65872221	10.0593457	8.130140325	9.461905999	0	8.359349951	0	3.721039317	0	0	6.032990354	0	3.38577762	0	8.363639993	0	0	0	4.063583578	0	0	0	0	0	0	6.622848966	0	0	0	0	0	0	0	8.527586873	4.776235513	0	7.823032279	1.188963353	0	1.4107767	0
ABCA8	1.605915284	0	0	3.016599114	0	0	3.189773553	0	0	0	0	0.74642831	0	0	1.286318166	7.926279167	0	0	0	0	4.854749381	0	0	0	0	0	6.93374059	2.424080483	0	2.603189053	0	0	0	0	0	1.762516518	0	0	2.243227218	2.658152137	0	2.93007401	0	2.117229041	6.931596979	0	0	0	0	0	3.869357384	1.595011657	3.990382671	0	0	1.979459532	2.262504564	5.432964787	8.905880005	1.539740178	8.353064888	0	4.684205475	2.169400049	0	0	2.339798015	0	0	1.72372019	0	0	9.102397003	0	0	0	0	0	0	8.909436941	0	0	0	0	0	0	0	0	1.157346419	0	0	0	4.703818391	0	0	0	7.375957192	0	0	0
ABCB6	0	0	0	0	0	0	0	0	0	0	0	0	3.784590986	0	0	3.139866396	6.833225401	0	5.773645109	0	2.099794726	4.289590687	0	0	5.534790651	0	5.550900033	0	0	0	0	0	0	0	0	0	0	0	0	2.317356245	0	0	0	1.626029743	0	0	0	0	0	0	0	1.595011657	0	0	0	0	1.468125589	5.432964788	0	0	0.074729554	0	0	0	0	0	0	0	0	0	1.126696151	0	0	0	3.628627543	5.246398639	0	0	0	8.64188533	0	7.23032632	0	0	0	9.246224959	0	0	7.689915166	0	3.095158872	4.985999493	0	1.135435982	0	8.349770498	0	0.789848842	8.928204915	9.363742694
ABCC3	2.217168673	1.340525649	0	0	1.833970805	0	0	0	2.646386289	0	0	0	0	0.846123224	0	3.669212411	0	0	1.936088507	2.350499667	0	0	0	0	3.332261703	0.79745818	0	0	0	0	0	0	7.430557848	0	0	0	1.161201613	1.880847864	0	0	0	0	0	0	0	0	3.1358914	4.024694416	0	0	0	1.688433972	3.078413016	0	0	1.979459533	0	3.442921964	0	1.539740178	0	4.764041074	3.739257796	0	2.334020923	2.275212361	2.339798015	0	0	0	0	1.035820223	0	0	0	0	0	0	0	0	0	0	0	0	0	4.968742605	0	1.384858807	0	0	0	2.681685812	4.859981289	0	0	0	1.831786974	0	0	0
ABCC5	0	0	0	9.487566014	0	3.763197668	0	0	0	2.869258115	8.497713369	8.67811951	3.531402706	0	7.990231362	9.002378518	0	0	0	0	2.099794726	0	0	0	0	8.224805541	0	2.424080483	0.663502416	6.679841208	1.402725681	8.132183109	6.699156735	7.509474383	0	0	4.753024719	8.504594349	0	7.325235378	6.422939586	0	0	0	0	7.247133613	8.21444802	0	8.930203913	1.841750211	0	0	0	2.058562562	1.922820516	0	6.537052933	0	10.153050074	2.74894723	0	0	5.972064741	0	0	7.308049939	4.665273686	0	0	5.8721331	0	0	0	9.618690183	6.911354255	0	0	0	0	0	0	0	0	0	0	5.945520879	0	2.904795574	0	0	0	0	0	0	0	0	0	10.05095175	0	9.30450049
