"cells"	"ct"	"umi"	"cdr"
"bBM1"	"bBM1"	"GR"	33829	0.234674703066832
"bBM4"	"bBM4"	"GR"	21988	0.192802694557703
"bBM7"	"bBM7"	"GR"	19673	0.185853572061691
"bBM8"	"bBM8"	"GR"	18057	0.17121077823081
"bBM9"	"bBM9"	"GR"	19941	0.178514447792945
"bBM12"	"bBM12"	"GR"	20528	0.192979968090764
"bBM13"	"bBM13"	"GR"	18093	0.170537138805176
"bBM14"	"bBM14"	"GR"	17703	0.175394433611062
"bBM15"	"bBM15"	"GR"	16737	0.16766530756958
"bBM16"	"bBM16"	"GR"	18059	0.169118950540684
"bBM17"	"bBM17"	"GR"	16862	0.165112568693494
"bBM19"	"bBM19"	"GR"	18423	0.175642616557348
"bBM20"	"bBM20"	"DC"	15288	0.163907108668676
"bBM21"	"bBM21"	"GR"	14747	0.144158837085623
"bBM22"	"bBM22"	"GR"	14089	0.144797021804645
"bBM23"	"bBM23"	"GR"	14620	0.150824321928736
"bBM24"	"bBM24"	"GR"	14777	0.154547066123028
"bBM25"	"bBM25"	"GR"	17921	0.175394433611062
"bBM26"	"bBM26"	"GR"	14263	0.152348874313065
"bBM27"	"bBM27"	"GR"	16458	0.164970749867045
"bBM29"	"bBM29"	"MO"	15331	0.157737989718135
"bBM30"	"bBM30"	"GR"	14939	0.155717071441234
"bBM32"	"bBM32"	"MO"	12549	0.143697925899663
"bBM33"	"bBM33"	"GR"	14279	0.149441588370856
"bBM34"	"bBM34"	"GR"	13567	0.146782485374934
"bBM35"	"bBM35"	"GR"	15977	0.162098918631448
"bBM36"	"bBM36"	"MO"	14700	0.152597057259351
"bBM37"	"bBM37"	"GR"	15516	0.15780889913136
"bBM38"	"bBM38"	"GR"	15396	0.161106186846304
"bBM39"	"bBM39"	"GR"	13380	0.144052472965786
"bBM40"	"bBM40"	"GR"	14790	0.158447083850381
"bBM41"	"bBM41"	"GR"	14893	0.152667966672576
"bBM42"	"bBM42"	"GR"	14622	0.153164332565148
"bBM43"	"bBM43"	"GR"	14546	0.157241623825563
"bBM44"	"bBM44"	"GR"	13805	0.150611593689062
"bBM45"	"bBM45"	"GR"	14897	0.153908881404006
"bBM46"	"bBM46"	"GR"	11027	0.110795958163446
"bBM47"	"bBM47"	"GR"	13501	0.155929799680908
"bBM48"	"bBM48"	"GR"	14064	0.150611593689062
"bBM49"	"bBM49"	"GR"	12814	0.146037936536075
"bBM51"	"bBM51"	"GR"	13987	0.14749157950718
"bBM52"	"bBM52"	"GR"	14836	0.155433433788335
"bBM53"	"bBM53"	"GR"	13405	0.140897004077291
"bBM54"	"bBM54"	"GR"	12751	0.147597943627016
"bBM55"	"bBM55"	"GR"	15372	0.160290728594221
"bBM56"	"bBM56"	"GR"	12660	0.13657152987059
"bBM57"	"bBM57"	"GR"	11071	0.13164332565148
"bBM58"	"bBM58"	"GR"	13197	0.143875199432725
"bBM59"	"bBM59"	"GR"	12940	0.142208828221946
"bBM60"	"bBM60"	"MO"	12152	0.147456124800567
"bBM61"	"bBM61"	"GR"	12370	0.139762453465698
"bBM62"	"bBM62"	"GR"	13423	0.147278851267506
"bBM63"	"bBM63"	"GR"	14207	0.149264314837795
"bBM64"	"bBM64"	"GR"	13593	0.143733380606275
"bBM65"	"bBM65"	"GR"	13062	0.143946108845949
"bBM66"	"bBM66"	"GR"	11327	0.13703244105655
"bBM67"	"bBM67"	"GR"	12139	0.13671334869704
"bBM68"	"bBM68"	"GR"	12550	0.139266087573125
"bBM69"	"bBM69"	"GR"	11692	0.13164332565148
"bBM70"	"bBM70"	"GR"	11583	0.134656975713526
"bBM71"	"bBM71"	"ER"	11380	0.138096082254919
"bBM72"	"bBM72"	"GR"	11268	0.132813330969686
"bBM73"	"bBM73"	"MO"	10954	0.132033327424216
"bBM74"	"bBM74"	"GR"	11568	0.1348697039532
"bBM75"	"bBM75"	"GR"	10730	0.126396029072859
"bBM76"	"bBM76"	"GR"	10494	0.123276014890977
"bBM77"	"bBM77"	"GR"	10365	0.127317851444779
"bBM78"	"bBM78"	"MO"	10471	0.123878744903386
"bBM79"	"bBM79"	"GR"	11585	0.13118241446552
"bBM80"	"bBM80"	"GR"	11999	0.133416060982095
"bBM81"	"bBM81"	"GR"	12309	0.139159723453288
"bBM82"	"bBM82"	"ER"	11673	0.134018790994505
"bBM83"	"bBM83"	"GR"	11506	0.131714235064705
"bBM84"	"bBM84"	"GR"	9647	0.0959404360928913
"bBM85"	"bBM85"	"GR"	11311	0.12948058854813
"bBM86"	"bBM86"	"GR"	10468	0.122425101932282
"bBM87"	"bBM87"	"GR"	11853	0.131040595639071
"bBM88"	"bBM88"	"GR"	10093	0.122744194291792
"bBM89"	"bBM89"	"ER"	9376	0.119411451870236
"bBM90"	"bBM90"	"GR"	11125	0.12809785499025
"bBM92"	"bBM92"	"GR"	10688	0.123346924304201
"bBM93"	"bBM93"	"GR"	11151	0.132813330969686
"bBM94"	"bBM94"	"GR"	10926	0.125296933167878
"bBM95"	"bBM95"	"ER"	7881	0.107144123382379
"bBM96"	"bBM96"	"ER"	8822	0.114447792944513
"bBM97"	"bBM97"	"ER"	8837	0.113915972345329
"bBM98"	"bBM98"	"ER"	10198	0.128594220882822
"bBM99"	"bBM99"	"ER"	9164	0.117532352419784
"bBM100"	"bBM100"	"GR"	10099	0.120723276014891
"bBM102"	"bBM102"	"GR"	9339	0.105584116291438
"bBM103"	"bBM103"	"GR"	8929	0.109696862258465
"bBM104"	"bBM104"	"GR"	10107	0.122850558411629
"bBM105"	"bBM105"	"GR"	11562	0.13657152987059
"bBM106"	"bBM106"	"GR"	10110	0.121467824853749
"bBM107"	"bBM107"	"GR"	11081	0.133806062754831
"bBM108"	"bBM108"	"MO"	10070	0.124658748448857
"bBM109"	"bBM109"	"GR"	9719	0.12501329551498
"bBM110"	"bBM110"	"GR"	9895	0.125545116114164
"bBM111"	"bBM111"	"ER"	8464	0.109129586952668
"bBM112"	"bBM112"	"ER"	8196	0.100833185605389
"bBM113"	"bBM113"	"MO"	9570	0.124446020209183
"bBM114"	"bBM114"	"GR"	9958	0.114057791171778
"bBM115"	"bBM115"	"GR"	9729	0.123985109023223
"bBM116"	"bBM116"	"GR"	9664	0.119659634816522
"bBM117"	"bBM117"	"GR"	7260	0.0707321396915441
"bBM118"	"bBM118"	"ER"	8867	0.118985995390888
"bBM119"	"bBM119"	"GR"	9414	0.119056904804113
"bBM120"	"bBM120"	"MO"	8211	0.113880517638717
"bBM121"	"bBM121"	"GR"	10103	0.124694203155469
"bBM122"	"bBM122"	"BA"	8052	0.107285942208828
"bBM123"	"bBM123"	"GR"	9765	0.124339656089346
"bBM124"	"bBM124"	"GR"	8627	0.110795958163446
"bBM125"	"bBM125"	"GR"	7945	0.109945045204751
"bBM126"	"bBM126"	"ER"	7866	0.108136855167523
"bBM127"	"bBM127"	"GR"	8157	0.102428647402943
"bBM128"	"bBM128"	"GR"	8279	0.105052295692253
"bBM129"	"bBM129"	"MO"	8594	0.117567807126396
"bBM130"	"bBM130"	"GR"	8331	0.113065059386634
"bBM131"	"bBM131"	"GR"	8324	0.104910476865804
"bBM132"	"bBM132"	"ER"	8326	0.112533238787449
"bBM133"	"bBM133"	"GR"	9134	0.107534125155114
"bBM134"	"bBM134"	"GR"	9795	0.120758730721503
"bBM135"	"bBM135"	"ER"	7058	0.0931749689771317
"bBM136"	"bBM136"	"ER"	6985	0.101329551497961
"bBM137"	"bBM137"	"GR"	8942	0.11146959758908
"bBM138"	"bBM138"	"GR"	9620	0.121999645452934
"bBM139"	"bBM139"	"ER"	8672	0.112568693494061
"bBM140"	"bBM140"	"MO"	9552	0.120014181882645
"bBM141"	"bBM141"	"MO"	8077	0.108739585179933
"bBM142"	"bBM142"	"ER"	7817	0.104662293919518
